"cohort","edu","sex","origin","women_total","children_total","parity_0","parity_1","parity_2","parity_3","parity_4","parity_5","parity_6","parity_7","parity_8p","CFR","CFR1","CFR2","CFR3","CFR4","CFR5","CFR6","CFR7","CFR8p","SHARE0","SHARE1","SHARE2","SHARE3","SHARE4","SHARE5","SHARE6","SHARE7","SHARE8p","PPR01","PPR12","PPR23","PPR34","PPR45","PPR56","PPR67"
1930,"ISCED0-2A","F","Total",1254,5946,26,66,75,137,229,282,221,128,90,4.742,0.979,0.927,0.867,0.758,0.575,0.350,0.174,0.112,0.021,0.053,0.060,0.109,0.183,0.225,0.176,0.102,0.072,0.979,0.946,0.935,0.874,0.759,0.609,0.497
1930,"ISCED3C-A","F","Total",65,244,3,3,8,13,19,9,7,2,1,3.754,0.954,0.908,0.785,0.585,0.292,0.154,0.046,0.031,0.046,0.046,0.123,0.200,0.292,0.138,0.108,0.031,0.015,0.954,0.952,0.864,0.745,0.500,0.526,0.300
1930,"ISCED5B-6","F","Total",10,38,0,1,1,2,2,3,1,0,0,3.800,1.000,0.900,0.800,0.600,0.400,0.100,0.000,-0.000,0.000,0.100,0.100,0.200,0.200,0.300,0.100,0.000,0.000,1.000,0.900,0.889,0.750,0.667,0.250,0.000
1931,"ISCED0-2A","F","Total",1272,5905,20,54,94,152,252,292,226,106,76,4.642,0.984,0.942,0.868,0.748,0.550,0.321,0.143,0.086,0.016,0.042,0.074,0.119,0.198,0.230,0.178,0.083,0.060,0.984,0.957,0.922,0.862,0.735,0.583,0.446
1931,"ISCED3C-A","F","Total",43,164,3,2,6,7,10,10,1,3,1,3.814,0.930,0.884,0.744,0.581,0.349,0.116,0.093,0.116,0.070,0.047,0.140,0.163,0.233,0.233,0.023,0.070,0.023,0.930,0.950,0.842,0.781,0.600,0.333,0.800
1931,"ISCED5B-6","F","Total",12,27,1,4,1,4,1,1,0,0,0,2.250,0.917,0.583,0.500,0.167,0.083,0.000,0.000,0.000,0.083,0.333,0.083,0.333,0.083,0.083,0.000,0.000,-0.000,0.917,0.636,0.857,0.333,0.500,0.000,0.000
1932,"ISCED0-2A","F","Total",1546,7168,27,76,84,192,324,349,279,130,85,4.636,0.983,0.933,0.879,0.755,0.545,0.320,0.139,0.083,0.017,0.049,0.054,0.124,0.210,0.226,0.180,0.084,0.055,0.983,0.950,0.942,0.859,0.722,0.586,0.435
1932,"ISCED3C-A","F","Total",87,285,5,8,13,24,16,13,6,2,0,3.276,0.943,0.851,0.701,0.425,0.241,0.092,0.023,0.000,0.057,0.092,0.149,0.276,0.184,0.149,0.069,0.023,-0.000,0.943,0.902,0.824,0.607,0.568,0.381,0.250
1932,"ISCED5B-6","F","Total",20,68,1,1,3,5,6,3,0,1,0,3.400,0.950,0.900,0.750,0.500,0.200,0.050,0.050,0.000,0.050,0.050,0.150,0.250,0.300,0.150,0.000,0.050,-0.000,0.950,0.947,0.833,0.667,0.400,0.250,1.000
1933,"ISCED0-2A","F","Total",1407,6377,27,72,93,184,306,300,242,104,79,4.532,0.981,0.930,0.864,0.733,0.515,0.302,0.130,0.078,0.019,0.051,0.066,0.131,0.217,0.213,0.172,0.074,0.056,0.981,0.948,0.929,0.849,0.703,0.586,0.431
