"","cohort","W","B0","B1","B2","B3p","B","edu","CCF"
"1","1930",1329,1329,1300,1230,3646,6176,"All",4.64710308502634
"2","1931",1327,1327,1303,1243,3513,6059,"All",4.56593820648078
"3","1932",1653,1653,1620,1535,4323,7478,"All",4.52389594676346
"4","1933",1508,1508,1478,1396,3804,6678,"All",4.42838196286472
"5","1934",1785,1785,1757,1688,4540,7985,"All",4.4733893557423
"6","1935",2083,2083,2059,1956,5064,9079,"All",4.3586173787806
"7","1936",2067,2067,2037,1950,5050,9037,"All",4.37203676826318
"8","1937",2175,2175,2137,2050,4981,9168,"All",4.2151724137931
"9","1938",2233,2233,2201,2103,4893,9197,"All",4.11867442901926
"10","1939",2318,2318,2282,2171,4810,9263,"All",3.99611734253667
"11","1940",2416,2416,2374,2245,4687,9306,"All",3.85182119205298
"12","1941",2412,2412,2362,2257,4365,8984,"All",3.72470978441128
"13","1942",2628,2628,2575,2467,4525,9567,"All",3.64041095890411
"14","1943",2377,2377,2323,2193,3645,8161,"All",3.43331931005469
"15","1944",2103,2103,2074,1962,3040,7076,"All",3.36471707085117
"16","1945",2021,2021,1985,1861,2608,6454,"All",3.19346857991094
"17","1946",2303,2303,2236,2091,2590,6917,"All",3.0034737299175
"18","1947",2411,2411,2355,2179,2562,7096,"All",2.94317710493571
"19","1948",2523,2523,2454,2291,2507,7252,"All",2.87435592548553
"20","1949",2629,2629,2556,2365,2332,7253,"All",2.75884366679346
"21","1950",2558,2558,2500,2291,1982,6773,"All",2.647771696638
"22","1951",2522,2522,2459,2245,1864,6568,"All",2.60428231562252
"23","1952",2923,2923,2860,2597,1872,7329,"All",2.50735545672255
"24","1953",2600,2600,2501,2266,1494,6261,"All",2.40807692307692
"25","1954",3286,3286,3166,2809,1589,7564,"All",2.30188679245283
"26","1955",3554,3554,3410,2985,1466,7861,"All",2.21187394485087
"27","1956",3452,3452,3320,2873,1248,7441,"All",2.15556199304751
"28","1957",3787,3787,3635,3080,1137,7852,"All",2.07340903089517
"29","1958",3862,3862,3687,3120,1056,7863,"All",2.03599171413775
"30","1959",4002,4002,3841,3248,961,8050,"All",2.01149425287356
"31","1960",4358,4358,4159,3508,976,8643,"All",1.9832491968793
"32","1961",4290,4290,4098,3434,885,8417,"All",1.96200466200466
"33","1962",4214,4214,4002,3318,789,8109,"All",1.92429995253916
"34","1963",3911,3911,3703,3123,750,7576,"All",1.93710048580926
"35","1964",3611,3611,3394,2887,682,6963,"All",1.92827471614511
"36","1965",4006,4006,3766,3156,739,7661,"All",1.91238142785821
"37","1966",3485,3485,3250,2723,688,6661,"All",1.91133428981349
"38","1967",3769,3769,3477,2931,725,7133,"All",1.89254444149642
"39","1968",4000,4000,3695,3066,730,7491,"All",1.87275
"40","1969",4097,4097,3734,3052,683,7469,"All",1.8230412496949
"41","1970",4289,4289,3869,2982,580,7431,"All",1.73257169503381
"42","1930",1254,1254,1228,1162,3505,5895,"Low",4.70095693779904
"43","1930",65,65,62,59,122,243,"Medium",3.73846153846154
"44","1930",10,10,10,9,19,38,"High",3.8
"45","1931",1272,1272,1252,1198,3422,5872,"Low",4.61635220125786
"46","1931",43,43,40,38,82,160,"Medium",3.72093023255814
"47","1931",12,12,11,7,9,27,"High",2.25
"48","1932",1546,1546,1519,1443,4163,7125,"Low",4.60866752910737
"49","1932",87,87,82,74,129,285,"Medium",3.27586206896552
"50","1932",20,20,19,18,31,68,"High",3.4
"51","1933",1407,1407,1380,1308,3658,6346,"Low",4.51030561478323
"52","1933",85,85,82,73,127,282,"Medium",3.31764705882353
"53","1933",16,16,16,15,19,50,"High",3.125
"54","1934",1672,1672,1644,1583,4367,7594,"Low",4.54186602870813
"55","1934",86,86,86,80,140,306,"Medium",3.55813953488372
"56","1934",27,27,27,25,33,85,"High",3.14814814814815
"57","1935",1957,1957,1936,1846,4867,8649,"Low",4.41951967296883
"58","1935",103,103,100,91,160,351,"Medium",3.40776699029126
"59","1935",23,23,23,19,37,79,"High",3.43478260869565
"60","1936",1922,1922,1896,1812,4823,8531,"Low",4.43860561914672
"61","1936",110,110,107,105,187,399,"Medium",3.62727272727273
"62","1936",35,35,34,33,40,107,"High",3.05714285714286
"63","1937",1995,1995,1961,1883,4737,8581,"Low",4.30125313283208
"64","1937",137,137,136,130,199,465,"Medium",3.39416058394161
"65","1937",43,43,40,37,45,122,"High",2.83720930232558
"66","1938",2030,2030,2002,1923,4646,8571,"Low",4.22216748768473
"67","1938",164,164,162,145,210,517,"Medium",3.15243902439024
"68","1938",39,39,37,35,37,109,"High",2.79487179487179
"69","1939",2090,2090,2059,1959,4510,8528,"Low",4.08038277511962
"70","1939",189,189,188,178,251,617,"Medium",3.26455026455026
"71","1939",39,39,35,34,49,118,"High",3.02564102564103
"72","1940",2138,2138,2106,1998,4395,8499,"Low",3.97521047708138
"73","1940",215,215,207,194,238,639,"Medium",2.97209302325581
"74","1940",63,63,61,53,54,168,"High",2.66666666666667
"75","1941",2116,2116,2074,1985,4075,8134,"Low",3.84404536862004
"76","1941",219,219,213,206,234,653,"Medium",2.98173515981735
"77","1941",77,77,75,66,56,197,"High",2.55844155844156
"78","1942",2278,2278,2232,2151,4189,8572,"Low",3.76294995610184
"79","1942",277,277,273,255,286,814,"Medium",2.93862815884477
"80","1942",73,73,70,61,50,181,"High",2.47945205479452
"81","1943",2002,2002,1958,1854,3315,7127,"Low",3.55994005994006
"82","1943",279,279,273,252,257,782,"Medium",2.80286738351254
"83","1943",96,96,92,87,73,252,"High",2.625
"84","1944",1733,1733,1714,1628,2742,6084,"Low",3.51067512983266
"85","1944",260,260,254,234,226,714,"Medium",2.74615384615385
"86","1944",110,110,106,100,72,278,"High",2.52727272727273
"87","1945",1600,1600,1576,1487,2341,5404,"Low",3.3775
"88","1945",316,316,309,280,218,807,"Medium",2.55379746835443
"89","1945",105,105,100,94,49,243,"High",2.31428571428571
"90","1946",1773,1773,1727,1631,2268,5626,"Low",3.17315284827975
"91","1946",401,401,389,354,267,1010,"Medium",2.51870324189526
"92","1946",129,129,120,106,55,281,"High",2.17829457364341
"93","1947",1850,1850,1812,1696,2240,5748,"Low",3.10702702702703
"94","1947",416,416,406,363,260,1029,"Medium",2.47355769230769
"95","1947",145,145,137,120,62,319,"High",2.2
"96","1948",1877,1877,1832,1718,2133,5683,"Low",3.02770378263186
"97","1948",486,486,471,431,311,1213,"Medium",2.49588477366255
"98","1948",160,160,151,142,63,356,"High",2.225
"99","1949",1924,1924,1881,1753,1984,5618,"Low",2.91995841995842
"100","1949",530,530,511,460,260,1231,"Medium",2.32264150943396
"101","1949",175,175,164,152,88,404,"High",2.30857142857143
"102","1950",1806,1806,1776,1646,1662,5084,"Low",2.81506090808416
"103","1950",549,549,527,474,241,1242,"Medium",2.26229508196721
"104","1950",203,203,197,171,79,447,"High",2.20197044334975
"105","1951",1764,1764,1732,1595,1570,4897,"Low",2.77607709750567
"106","1951",585,585,561,503,229,1293,"Medium",2.21025641025641
"107","1951",173,173,166,147,65,378,"High",2.1849710982659
"108","1952",1912,1912,1879,1738,1483,5100,"Low",2.6673640167364
"109","1952",787,787,763,677,331,1771,"Medium",2.25031766200762
"110","1952",224,224,218,182,58,458,"High",2.04464285714286
"111","1953",1531,1531,1485,1379,1173,4037,"Low",2.63683866753756
"112","1953",828,828,792,692,271,1755,"Medium",2.1195652173913
"113","1953",241,241,224,195,50,469,"High",1.94605809128631
"114","1954",1897,1897,1842,1680,1198,4720,"Low",2.48813916710596
"115","1954",1094,1094,1047,903,329,2279,"Medium",2.08318098720293
"116","1954",295,295,277,226,62,565,"High",1.91525423728814
"117","1955",1905,1905,1849,1658,1054,4561,"Low",2.39422572178478
"118","1955",1229,1229,1173,1002,335,2510,"Medium",2.04231082180635
"119","1955",420,420,388,325,77,790,"High",1.88095238095238
"120","1956",1741,1741,1684,1499,858,4041,"Low",2.32107983917289
"121","1956",1292,1292,1243,1049,328,2620,"Medium",2.02786377708978
"122","1956",419,419,393,325,62,780,"High",1.86157517899761
"123","1957",1779,1779,1719,1511,718,3948,"Low",2.21922428330523
"124","1957",1567,1567,1508,1242,343,3093,"Medium",1.97383535417996
"125","1957",441,441,408,327,76,811,"High",1.8390022675737
"126","1958",1714,1714,1652,1427,643,3722,"Low",2.17152858809802
"127","1958",1613,1613,1549,1285,337,3171,"Medium",1.96590204587725
"128","1958",535,535,486,408,76,970,"High",1.81308411214953
"129","1959",1620,1620,1572,1370,564,3506,"Low",2.1641975308642
"130","1959",1800,1800,1740,1450,323,3513,"Medium",1.95166666666667
"131","1959",582,582,529,428,74,1031,"High",1.77147766323024
"132","1960",1582,1582,1513,1306,500,3319,"Low",2.09797724399494
"133","1960",2071,2071,1988,1675,386,4049,"Medium",1.95509415741188
"134","1960",705,705,658,527,90,1275,"High",1.80851063829787
"135","1961",1403,1403,1358,1147,431,2936,"Low",2.09265858873842
"136","1961",2098,2098,2011,1689,351,4051,"Medium",1.93088655862726
"137","1961",789,789,729,598,103,1430,"High",1.81242078580482
"138","1962",1136,1136,1075,909,307,2291,"Low",2.01672535211268
"139","1962",2199,2199,2101,1723,364,4188,"Medium",1.90450204638472
"140","1962",879,879,826,686,118,1630,"High",1.85437997724687
"141","1963",832,832,797,681,242,1720,"Low",2.06730769230769
"142","1963",2126,2126,2021,1697,365,4083,"Medium",1.92050799623706
"143","1963",953,953,885,745,143,1773,"High",1.8604407135362
