"","cohort","edu","Total","T_edu","T_bc","Prop_edu"
"1","1930","Low",1254,1254,1329,0.943566591422122
"2","1930","Medium",65,65,1329,0.0489089541008277
"3","1930","High",10,10,1329,0.00752445447705041
"4","1931","Low",1272,1272,1327,0.958553127354936
"5","1931","Medium",43,43,1327,0.0324039186134137
"6","1931","High",12,12,1327,0.00904295403165034
"7","1932","Low",1546,1546,1653,0.935269207501512
"8","1932","Medium",87,87,1653,0.0526315789473684
"9","1932","High",20,20,1653,0.0120992135511192
"10","1933","Low",1407,1407,1508,0.933023872679045
"11","1933","Medium",85,85,1508,0.0563660477453581
"12","1933","High",16,16,1508,0.0106100795755968
"13","1934","Low",1672,1672,1785,0.936694677871148
"14","1934","Medium",86,86,1785,0.0481792717086835
"15","1934","High",27,27,1785,0.0151260504201681
"16","1935","Low",1957,1957,2083,0.939510321651464
"17","1935","Medium",103,103,2083,0.0494479116658665
"18","1935","High",23,23,2083,0.0110417666826692
"19","1936","Low",1922,1922,2067,0.929850024189647
"20","1936","Medium",110,110,2067,0.0532172230285438
"21","1936","High",35,35,2067,0.0169327527818094
"22","1937","Low",1995,1995,2175,0.917241379310345
"23","1937","Medium",137,137,2175,0.0629885057471264
"24","1937","High",43,43,2175,0.0197701149425287
"25","1938","Low",2030,2030,2233,0.909090909090909
"26","1938","Medium",164,164,2233,0.0734437975817286
"27","1938","High",39,39,2233,0.0174652933273623
"28","1939","Low",2090,2090,2318,0.901639344262295
"29","1939","Medium",189,189,2318,0.0815358067299396
"30","1939","High",39,39,2318,0.0168248490077653
"31","1940","Low",2138,2138,2416,0.884933774834437
"32","1940","Medium",215,215,2416,0.0889900662251656
"33","1940","High",63,63,2416,0.0260761589403974
"34","1941","Low",2116,2116,2412,0.877280265339967
"35","1941","Medium",219,219,2412,0.0907960199004975
"36","1941","High",77,77,2412,0.0319237147595357
"37","1942","Low",2278,2278,2628,0.866818873668189
"38","1942","Medium",277,277,2628,0.105403348554033
"39","1942","High",73,73,2628,0.0277777777777778
"40","1943","Low",2002,2002,2377,0.84223811527135
"41","1943","Medium",279,279,2377,0.117374842238115
"42","1943","High",96,96,2377,0.0403870424905343
"43","1944","Low",1733,1733,2103,0.824060865430338
"44","1944","Medium",260,260,2103,0.123632905373276
"45","1944","High",110,110,2103,0.0523062291963861
"46","1945","Low",1600,1600,2021,0.791687283523008
"47","1945","Medium",316,316,2021,0.156358238495794
"48","1945","High",105,105,2021,0.0519544779811974
"49","1946","Low",1773,1773,2303,0.769865392965697
"50","1946","Medium",401,401,2303,0.174120712114633
"51","1946","High",129,129,2303,0.05601389491967
"52","1947","Low",1850,1850,2411,0.767316466196599
"53","1947","Medium",416,416,2411,0.172542513479884
"54","1947","High",145,145,2411,0.0601410203235172
"55","1948","Low",1877,1877,2523,0.743955608402695
"56","1948","Medium",486,486,2523,0.192627824019025
"57","1948","High",160,160,2523,0.0634165675782798
"58","1949","Low",1924,1924,2629,0.731837200456447
"59","1949","Medium",530,530,2629,0.201597565614302
"60","1949","High",175,175,2629,0.0665652339292507
"61","1950","Low",1806,1806,2558,0.706020328381548
"62","1950","Medium",549,549,2558,0.214620797498045
"63","1950","High",203,203,2558,0.0793588741204066
"64","1951","Low",1764,1764,2522,0.699444885011895
"65","1951","Medium",585,585,2522,0.231958762886598
"66","1951","High",173,173,2522,0.0685963521015067
"67","1952","Low",1912,1912,2923,0.654122476907287
"68","1952","Medium",787,787,2923,0.269243927471776
"69","1952","High",224,224,2923,0.0766335956209374
"70","1953","Low",1531,1531,2600,0.588846153846154
"71","1953","Medium",828,828,2600,0.318461538461538
"72","1953","High",241,241,2600,0.0926923076923077
"73","1954","Low",1897,1897,3286,0.577297626293366
"74","1954","Medium",1094,1094,3286,0.33292757151552
"75","1954","High",295,295,3286,0.0897748021911138
"76","1955","Low",1905,1905,3554,0.536015756893641
"77","1955","Medium",1229,1229,3554,0.3458075407991
"78","1955","High",420,420,3554,0.118176702307259
"79","1956","Low",1741,1741,3452,0.504345307068366
"80","1956","Medium",1292,1292,3452,0.374275782155272
"81","1956","High",419,419,3452,0.121378910776362
"82","1957","Low",1779,1779,3787,0.469764985476631
"83","1957","Medium",1567,1567,3787,0.41378399788751
"84","1957","High",441,441,3787,0.11645101663586
"85","1958","Low",1714,1714,3862,0.443811496633868
"86","1958","Medium",1613,1613,3862,0.41765924391507
"87","1958","High",535,535,3862,0.138529259451062
"88","1959","Low",1620,1620,4002,0.4047976011994
"89","1959","Medium",1800,1800,4002,0.449775112443778
"90","1959","High",582,582,4002,0.145427286356822
"91","1960","Low",1582,1582,4358,0.363010555300597
"92","1960","Medium",2071,2071,4358,0.475217989903626
"93","1960","High",705,705,4358,0.161771454795778
"94","1961","Low",1403,1403,4290,0.327039627039627
"95","1961","Medium",2098,2098,4290,0.489044289044289
"96","1961","High",789,789,4290,0.183916083916084
"97","1962","Low",1136,1136,4214,0.269577598481253
"98","1962","Medium",2199,2199,4214,0.521831988609397
"99","1962","High",879,879,4214,0.20859041290935
"100","1963","Low",832,832,3911,0.212733316287395
"101","1963","Medium",2126,2126,3911,0.543594988493991
"102","1963","High",953,953,3911,0.243671695218614
"103","1964","Low",710,710,3611,0.196621434505677
"104","1964","Medium",1955,1955,3611,0.54140127388535
"105","1964","High",946,946,3611,0.261977291608973
"106","1965","Low",607,607,4006,0.151522715926111
"107","1965","Medium",2227,2227,4006,0.555916125811283
"108","1965","High",1172,1172,4006,0.292561158262606
"109","1966","Low",450,450,3485,0.129124820659971
"110","1966","Medium",1969,1969,3485,0.564992826398852
"111","1966","High",1066,1066,3485,0.305882352941176
"112","1967","Low",380,380,3769,0.100822499336694
"113","1967","Medium",2174,2174,3769,0.57681082515256
"114","1967","High",1215,1215,3769,0.322366675510746
"115","1968","Low",312,312,4000,0.078
"116","1968","Medium",2253,2253,4000,0.56325
"117","1968","High",1435,1435,4000,0.35875
"118","1969","Low",278,278,4097,0.0678545277031975
"119","1969","Medium",2365,2365,4097,0.577251647546986
"120","1969","High",1454,1454,4097,0.354893824749817
"121","1970","Low",228,228,4289,0.053159244579156
"122","1970","Medium",2378,2378,4289,0.554441594777337
"123","1970","High",1683,1683,4289,0.392399160643507
