"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"Year",1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"",2502,2832,2963,2982,3095,3240,3218,3153,3231,3317,3221,3466,3587,3641,3298,3367,3284,4386,4332,3984,3827,3528,3096,2704,2241,1837,1872,1551,2131,2293,2225,1983,1811,1650,1761,1570,1535,1479,1493,1443,1356,1267,1353,1262,1209,1244,1284,1085,1171,1266,1323,1200,1189,1152,1081,1129,1163,1079,1074,1078,1010,1079,1043,1047
"",19.4110944587808,24.2029990648709,26.4176383635486,26.1345363159278,33.1531589550391,31.2282576405351,36.3161489590243,46.1861629436224,39.9330617800689,50.1827542113926,99,107,115,104,106,91,83,42,40,42,42,38,29,37,45,35,32,26,55,63,58,57,70,44,72,49,40,57,41,38,46,31,37,38,24,26,31,19,21,20,26,22,14,28,25,23,20,19,17,14,17,18,9,13
"",15.7571756682813,19.0827834821734,21.2065823847898,20.9696870676819,25.8699455124043,25.3508581338172,29.8977125284626,36.0874932437878,32.7531593038352,39.797761194407,34,26,35,36,38,27,39,19,8,19,18,9,21,17,17,16,12,12,28,24,28,27,28,36,18,22,17,24,24,17,20,13,14,15,12,10,7,9,8,8,10,9,11,7,4,6,9,4,9,16,6,5,15,1
"",12.8028733783965,15.0619929323906,17.0401100630573,16.8405294665382,20.2131082654382,20.5954007159717,24.6355346993121,28.2294450342787,26.8837428915439,31.6096608849568,21,22,35,19,18,16,18,11,15,11,5,9,13,11,13,9,12,10,21,23,27,16,21,19,21,12,17,19,13,17,9,11,16,10,5,6,7,5,4,6,5,5,4,7,9,5,6,5,6,5,4,5,6,5
"",10.4294942405804,11.9241833644288,13.7298351874428,13.5582315885902,15.850650895183,16.7680756350766,20.3505147720717,22.1534231919081,22.1114542179635,25.2125167034699,23,8,21,13,10,24,15,6,5,8,6,6,5,9,6,8,12,6,21,15,11,9,8,15,10,12,10,14,6,12,5,10,7,9,4,2,3,4,5,3,4,5,3,5,5,4,6,6,2,2,1,4,8,1
"",8.53760527228827,9.49312083698193,11.1196166782367,10.9667989733669,12.5138981670811,13.7073569066191,16.8905365435972,17.4892183905636,18.2567599772814,20.269345050957,8.7640331227216,11.6093381444423,7.86148145141003,8.97958638400112,10.2087266245805,10.0781968310983,7.16703917619412,3.06435307322082,4.47324038112258,3.94893593850309,4.21430180450749,3.03674407672142,4.79856782554429,4.62191959941982,2.78344878199101,3.73168800122888,3.8093420167323,3.72248899742406,9.42123457807718,11.8079947399664,9.03250325310563,5.34709335821726,5.67137209042401,4.49569010572043,6.76308907857856,4.88812595037559,6.04171442715844,5.33085627591415,3.99587667100961,3.93698797691177,4.97188478613855,2.72486945265513,3.01312233642575,3.56686817924317,4.39304925977572,2.45161261973885,3.03576880758557,3.33930678337542,3.01908245692805,4.16603488047894,3.93630658732946,2.44664929422411,3.46860820730684,2.77007328892075,2.23233553519844,3.2141419135678,1.47928307699508,2.13358163728453,2.33120524856821,2.03520595885241,2.31545610671227,2.14627491912609,2.39529470535965,2.18424401808365
"",7.04257560952706,7.62399942995547,9.07835393341083,8.935787728919,9.98379911145494,11.2767117947807,14.123671695953,13.9357194258676,15.1660214562423,16.4972852152515,8.54641655411843,10.8327944493647,7.57180220724992,8.40259889267015,9.83800013224173,9.37491007204673,6.9533088291833,3.06193679338933,4.15577739261073,3.79812474789003,3.83904357973485,2.91602023071862,4.52411166845612,4.24387848967737,2.71630706379042,3.57400838240333,3.6805135679409,3.52844136839512,9.14115245740489,10.9998070614824,8.50675495321797,5.35151004188154,5.79274288302641,4.65978755969592,6.61191087007052,4.84983018664413,5.87797079932262,5.26852123812967,3.95221451091213,3.97209640720039,4.87643924187135,2.84708566126029,3.0527830680208,3.58354308419235,4.33582557268674,2.60971108105083,3.12540177723346,3.33187853385358,3.08358258758049,4.21887870096286,3.95558066092303,2.5374387020568,3.5719344362056,2.87164410552892,2.3304334473758,3.23981013805089,1.62134434329033,2.1866291556217,2.39850434456071,2.05657807276053,2.35430296760997,2.18303018715639,2.45119596125413,2.12535698385799
"",5.87261363902621,6.19859330686325,7.49647921525104,7.35649207986001,8.08345360557568,9.36087114569386,11.9357260490379,11.249826867964,12.707741290651,13.6622422582504,8.33436933716017,10.1090703545815,7.29303531208862,7.86465026202661,9.4810748022164,8.72268517610047,6.74605960703687,3.05946496724324,3.86128979744215,3.65250371181224,3.49782063927183,2.80028218350478,4.26523259805363,3.89773191521685,2.65073901665436,3.42342578352436,3.55608957615952,3.34479642000769,8.8697572453854,10.2487722544013,8.01374568243112,5.35566851989983,5.91578674551269,4.82869404324763,6.46481661732617,4.81181581564606,5.71918968527991,5.20790600933723,3.90939445160689,4.00775582514557,4.78347436868234,2.97462885942934,3.09287712567074,3.60051998107739,4.28006491118436,2.77755152490805,3.21766172571788,3.32517644267266,3.14988730149899,4.2720350389909,3.97473232550816,2.63157007015847,3.67846785445438,2.97695596850809,2.43281595121353,3.26561666732641,1.77686679039213,2.24123594681647,2.46754817739653,2.0783809268683,2.39365963903433,2.22040064985145,2.50831902561897,2.06842239445001
"",4.96021033461074,5.11423976003848,6.27472349125073,6.13168075708601,6.66109746837922,7.85601390556478,10.2140450561661,9.226312762039,10.7603919802051,11.543233163414,8.12806431670949,9.43609795191285,7.02521170925668,7.3665420535139,9.13806528210066,8.12124905159219,6.54529715137331,3.05682297266627,3.58888225500011,3.51084459707869,3.18857343450727,2.68966806588705,4.02083268483161,3.58242847263155,2.58662038613314,3.28041862210464,3.43600829308944,3.17151256139451,8.60745837733324,9.55403577204848,7.55523467443746,5.35904391790464,6.03859296424246,5.00000967111176,6.32304658362096,4.77404409551001,5.56621574429484,5.15091635392092,3.86811775444704,4.04445772431405,4.69417819762385,3.10739372630948,3.13322695498841,3.61825373919158,4.22713804566917,2.95470812438365,3.31258434199246,3.32061178392904,3.21893469726486,4.32476986175923,3.993322219656,2.72910832028148,3.78858182488378,3.08618260105546,2.53961305821203,3.29142658809744,1.94669150708482,2.29795176471651,2.53796230610902,2.10104272207275,2.43323895267834,2.25836713034346,2.56651710889381,2.01406902452538
"",4.24786027787194,4.2882485763321,5.33054470226459,5.18079949669183,5.59646989515695,6.67480952263209,8.85959331472815,7.70275564265027,9.21976232420238,9.95718712877832,7.92779669243662,8.81231074209066,6.76851786540891,6.90989444123498,8.80930615607521,7.57113965420523,6.35110411575694,3.05383934970795,3.33789410090354,3.37160451910749,2.90958462063295,2.58442880886084,3.7898184347932,3.29730538418063,2.52379465403789,3.14571279892947,3.32024256325021,3.00870301002815,8.35491290999047,8.91554905766169,7.13392985868236,5.36084775518672,6.15809035831175,5.16962815141294,6.18837137518775,4.73645939841916,5.42026299133899,5.10032517397003,3.82940609327146,4.08295840569811,4.61024956885061,3.24504109736521,3.17355216996434,3.63743688973214,4.17903181674772,3.1399530901562,3.41018082274477,3.32029653704575,3.29220829221337,4.37593769187972,4.01068213140519,2.8300830762549,3.90283095093702,3.1995273777112,2.65092183087725,3.31703191765455,2.13135494762033,2.35764469146092,2.60910433610608,2.12522594248412,2.47258304441245,2.29689337004409,2.62553723360163,1.96318377278419
"",3.68901154453434,3.65667568404804,4.59838269975311,4.43986667452593,4.79821861484865,5.74666547835086,7.79017556036921,6.55528565600172,8.00026433080154,8.76068080408803,7.73396411682879,8.23644049322508,6.52325722120508,6.49675721573383,8.49529800527636,7.07328832257829,6.16362509276161,3.05028625738896,3.10779561661657,3.23303290124296,2.65932156157846,2.48489732960455,3.5711236194423,3.04186904864445,2.46207862527632,3.02021050214057,3.20879238932913,2.85657940983436,8.1129766696521,8.33367378901,6.75309379264491,5.36002887629332,6.26993775710204,5.33146670868182,6.06302407122335,4.69899004749757,5.28285283475555,5.05973935424874,3.7945850558431,4.12429518820605,4.53384723764966,3.38694357351015,3.21346232379082,3.65900864123098,4.13831760494024,3.33100860526004,3.51043370740064,3.32706017527295,3.37181247499785,4.42395740205665,4.02591051793466,2.93448109487349,4.02198065434269,3.31722828875471,2.76679743708159,3.34214846481586,2.33091353173651,2.42154931594924,2.68002518743555,2.15184523622497,2.5110488568065,2.33592439225734,2.68500709650278,1.9168732792255
"",3.24694915405961,3.17113726214568,4.02741650534321,3.85923428355288,4.19846329332551,5.01586430045913,6.93950335969196,5.69147322319317,7.03339394604907,7.84329776108814,7.54704925891758,7.7073766566765,6.28981835479133,6.12938393629264,8.19666295267478,6.62877461689333,5.98305354434906,3.0458801707365,2.89811949875862,3.0932761628965,2.43634531418805,2.39146441216214,3.36372671974349,2.81567519598531,2.40126764362265,2.90493922464395,3.1016785582642,2.71541045550549,7.88266346476482,7.80893518083482,6.41631805767993,5.35527728619152,6.36844520208252,5.47725001203531,5.94965232287151,4.66154914454065,5.15576702617961,5.03360702078161,3.76527533826015,4.16980663133497,4.46755948481796,3.53212526276074,3.25244998392388,3.68416736052452,4.10814583366517,3.52427257585975,3.61329230703115,3.34450060432565,3.46056983088357,4.46679444967732,4.03787072580759,3.04223778008976,4.14704122053597,3.43956355814597,2.88724288442872,3.36641293054245,2.54471830008355,2.49132657413487,2.74943103635971,2.18209112921761,2.54779497424604,2.37538478918037,2.74442159895464,1.87644098201374
"",2.89302084726544,2.79537175803094,3.57866526639394,3.40081061914211,3.7472133442617,4.43903122449472,6.2546930682993,5.04322102607749,6.26512964875276,7.11935828534768,7.3646284651007,7.22294832855347,6.06668462117769,5.80615732401181,7.91034040173112,6.23489354212594,5.80873576410406,3.03991770406996,2.70788628142986,2.95132372455857,2.23880084963201,2.30419265948187,3.16675717740784,2.61743676297383,2.34075575802265,2.79996385653129,2.99890020214083,2.58496851909903,7.66261625121685,7.34046627093574,6.123349130094,5.34573471647579,6.44841444463553,5.59877974109247,5.8490777253758,4.62401728757932,5.03986246222208,5.02312939092615,3.74240600630604,4.22008314476188,4.41296293967862,3.67849610905487,3.29009861249697,3.71355329441235,4.09045514039569,3.71609136237205,3.71833910336796,3.37512768501989,3.55973369552778,4.5030615481315,4.04536884714731,3.15293741074987,4.27826509644891,3.56644591430944,3.01204896160317,3.38988608877894,2.77144918646266,2.56823677362071,2.81606889289401,2.21694405333685,2.58227137016127,2.41503514185623,2.80340083793599,1.8429477517816
"",2.60603294897393,2.50228064930085,3.22297717024569,3.03612063098193,3.40761879977748,3.98187211167501,5.69720915862998,4.55955804816433,5.65324929222778,6.53191573315355,7.18178765366223,6.78029250960198,5.85082657273463,5.5228239348797,7.63033892314335,5.88647470601011,5.63931464131962,3.0312825534386,2.53579186028182,2.80688146825247,2.06463100521252,2.22288376867366,2.97947248770586,2.44538621732717,2.27959939908392,2.70459496694188,2.90043765291758,2.46466122557229,7.44949231891983,6.92649165406828,5.87121662684054,5.33099895885201,6.50532657303312,5.68832173965014,5.76050866743172,4.58624429157608,4.9352084653736,5.02639752589709,3.72626026833687,4.27491903733621,4.37074502912586,3.82261602288561,3.32609199736242,3.74723002656128,4.08607929927573,3.90299746021956,3.82472713817645,3.42040639374445,3.66872456548964,4.53207528573488,4.04716417724418,3.26573951693962,4.41499216765243,3.69733793640446,3.14074259872668,3.4130713471041,3.00895303059271,2.65306640938444,2.87875958090066,2.25716709431566,2.61425177108261,2.45445610893303,2.86171194897987,1.81727385752852
"",2.37008337823323,2.27146443634385,2.93832511440476,2.7437183738098,3.15220852469484,3.61739897343766,5.23852438596964,4.20243266423178,5.16477900766474,6.04234167787021,6.99152514790691,6.37613208687338,5.63804379067503,5.27333619948777,7.34840935069051,5.57678616362665,5.47285797716687,3.01845901345848,2.38034613771353,2.66024630805251,1.91172705042412,2.14713348992591,2.80123855626908,2.2975345017295,2.21658147601144,2.61754760438181,2.80625510558804,2.35363426811754,7.23830189567717,6.56471063544476,5.65500471103855,5.31112287247351,6.53552992319468,5.73904571853071,5.68169687479593,4.54805094693247,4.84119668489067,5.038384409186,3.71650512374887,4.33325032847613,4.34079301035149,3.95946896394867,3.36022345460205,3.78465584064755,4.09480526410382,4.08198772822328,3.93111366049466,3.48073835697143,3.78477533489009,4.55389939648142,4.04198414651747,3.37929930057954,4.55547085063713,3.83115676681321,3.27252913587757,3.43693247466643,3.25407754144326,2.74602945567265,2.93643381647095,2.30329247827737,2.6438624853114,2.4930326012594,2.91929137832623,1.80017746951372
"",2.17305705890869,2.08734766886009,2.70782387871207,2.50728858113221,2.96003607297705,3.32428044876657,4.85719856048567,3.94319633054125,4.77385154094439,5.62411811694867,6.78519979594997,6.00697974002995,5.42328475714363,5.05039613516142,7.0547198135581,5.29812760160598,5.30697766985653,2.99955744539118,2.23997200474869,2.51217922108017,1.77802973674184,2.07637555089688,2.63151279074626,2.17184731989159,2.15028078842614,2.53705904466532,2.7163030884646,2.25084991292872,7.02273170083018,6.25259307397654,5.46833425273464,5.28660685569299,6.53640612654761,5.74546988697381,5.60904624205101,4.50923085304687,4.7566241242242,5.05083581245695,3.71220331227373,4.39307965961283,4.32224567076753,4.08228881763417,3.39240440182137,3.82464453765073,4.11537475044074,4.25081966981943,4.03559343744052,3.55536303535666,3.90249584228662,4.56937054362821,4.02854412065916,3.49168591012303,4.69665998526012,3.96617041551298,3.40622970184179,3.46291290503025,3.50251553497264,2.84663545809456,2.9881690967499,2.3555983519618,2.67160655706897,2.52993915515877,2.97626708077919,1.79234819323616
