"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64"
"Year",1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"",165,149,119,98,111,117,116,107,85,71,78,97,65,24,39,47,37,89,78,80,62,68,98,93,53,46,45,37,48,49,45,38,44,35,24,36,42,39,37,39,41,35,44,27,24,23,27,36,21,40,33,33,27,26,21,11,20,28,22,16,23,14,13,16
"",10.3507663320317,19.7054072809748,12.510680522204,12.0379351435771,19.8890155584933,10.990678228327,12.1545368526167,14.518075379158,16.0188576774814,6.59642360102288,36,60,31,27,29,25,17,30,20,17,29,30,24,9,20,19,17,4,16,10,17,14,13,9,16,19,15,10,8,11,15,13,14,9,8,2,7,7,10,9,1,9,6,9,11,7,10,10,3,7,2,2,6,12
"",11.0212745219131,18.307082356654,12.2471979223808,11.8044116059377,18.0415103495967,10.7914562140251,11.4599661502355,13.2841180102668,14.1354937395755,6.63793114807555,15,7,13,12,10,10,10,13,14,11,14,11,11,12,10,6,6,6,6,4,7,5,10,5,2,5,8,8,10,4,6,9,6,0,3,4,2,7,1,3,2,1,8,1,2,2,3,2,2,1,5,0,2,6
"",11.7359185882624,17.0218877802423,11.9962768860809,11.5807316701294,16.3794805092074,10.5999531942341,10.8117100373571,12.1655424290295,12.4878927529607,6.68160005941471,8,10,10,5,8,6,9,5,7,8,9,11,10,13,7,7,6,4,1,2,3,4,6,9,6,9,5,5,3,2,2,2,6,1,1,1,5,1,2,2,2,4,2,1,2,1,3,4,3,1,2,1,2,4
"",12.4991907217051,15.8648414030552,11.77098224812,11.3768416907897,14.9072003589734,10.4238894280589,10.2185350898676,11.1692387791366,11.0689115428987,6.73130961243948,13,3,3,6,4,5,5,2,5,7,8,4,5,5,6,10,4,5,2,5,4,5,6,2,2,3,5,4,5,1,3,3,1,2,1,1,4,2,2,2,1,1,2,3,1,3,0,3,2,4,0,2,3,0
"",13.3170874589501,14.8557393982494,11.5899468550783,11.2069641800544,13.6321592252531,10.2743313399838,9.6921445177089,10.304847912543,9.87383578933651,6.79302114277814,3.78631978818221,4.68548805147777,4.12493524286466,4.60578416034888,3.04365232316868,3.54234719185438,3.85943189159935,3.89094312975427,4.10182813978409,4.40319876321005,4.04860434568631,4.96239511017639,3.30669472944404,4.91734985851228,3.67416277611773,3.23760103829928,3.72541893058513,3.12978053679524,3.34948582070977,3.91838476889669,2.15581621511788,3.11661203721859,3.12383187562859,2.07898057977691,2.48682090785386,1.74814275009549,2.30069560909428,2.50949329924045,1.3892090804447,1.06111618858545,1.71743352915025,2.61982564434897,1.50443908173559,1.97281127876764,2.18028668857773,1.45062285470539,1.05423907459949,1.53640900732109,1.54732630184566,1.21421563214028,1.73735794719943,0.962578981697618,2.49466873942772,1.78456217769863,0.77934949083538,0.868218289170443,1.01019806194709,1.27698433809516,1.44145802363325,0.937964338971206,1.23693511563089,1.32538629476348,0.53617139115601,1.15760324784276
"",14.1975533808962,14.0171637309479,11.4772453543731,11.0894411632418,12.562764396611,10.165550097986,9.24625037456754,9.58311361824746,8.8982455914205,6.8749521497989,4.12961826906918,5.02478370629626,4.47940825429705,4.9305445969813,3.35968907389541,3.79314161288404,4.20366571996232,4.24547601193661,4.36845645113943,4.72840387092115,4.36719039667765,5.28291974286699,3.66381313296361,5.13961654870626,3.95603118652821,3.49966756050166,4.00513221127672,3.47055252468384,3.56905642562073,4.21421858151754,2.41503795626388,3.35931556377671,3.44873743767847,2.35037854162499,2.74381934761428,1.98612207784523,2.56959423620449,2.74406483370659,1.59671313163622,1.24064660565849,1.9205375646391,2.80181976115525,1.65251234865319,2.17399410792007,2.36914744552292,1.58298724779121,1.1802432938617,1.6539802356817,1.69427497994111,1.36005134909744,1.91313351785075,1.11022746111416,2.51958193169155,1.89123638317964,0.906949498646136,0.995157146621052,1.0919517006806,1.41731382092965,1.56277817173158,1.03406729774401,1.34274396915995,1.41010643054283,0.615826211221873,1.22868719129025
"",15.1510388098963,13.374504630531,11.4630869652047,11.0470711942498,11.7081739646293,10.1152060893885,8.89642867441758,9.01583762028321,8.13841964095214,6.98788774965596,4.50387987545278,5.38891991847944,4.86473193766653,5.27834436212304,3.70878336364849,4.06226753891675,4.57882900062468,4.63174518320666,4.65335164454398,5.07803545959666,4.71067158496614,5.625005974741,4.05918854234597,5.372264994465,4.25965813260122,3.78354811492419,4.30639621515604,3.84853541760046,3.80363075003708,4.53219582660503,2.70533509237049,3.62126912369193,3.80739236671663,2.65714296130732,3.02748819409695,2.25633898592886,2.86970241208151,3.00070016076819,1.83500917776743,1.45039277235041,2.14767431605806,2.99661270398087,1.81542702887053,2.39555855778426,2.57423652834733,1.72754721382177,1.32126230105965,1.7807458574192,1.85533875066055,1.52319736316611,2.10651582075634,1.28043213050748,2.54541540980776,2.00461729584276,1.05532548969358,1.14061164112806,1.1803888843282,1.5729884505252,1.69426158753385,1.14003128235204,1.45765522951839,1.50044769337234,0.707261369451875,1.30431489913276
"",16.185989287077,12.9369268314044,11.5705921868568,11.0972608418698,11.0644615433609,10.1368787837608,8.64946906514949,8.60365905238116,7.57681266529452,7.13975848941871,4.91151055976105,5.7803365958064,5.28450656001734,5.65113809885155,4.09498003076892,4.35238139284255,4.98823573977799,5.05124404715911,4.95988199925157,5.45486672506553,5.08058823430747,5.99204618932437,4.49615865784379,5.61651149120395,4.58703455793695,4.09245903030238,4.63213744236072,4.26805556231385,4.05561618934044,4.87353154002241,3.03019787218858,3.90480986121502,4.20319648712881,3.00372291910067,3.34086456154864,2.56275254135982,3.20410023039813,3.28180227886402,2.10813589857014,1.69500997122082,2.40172130861912,3.20546073639293,1.99531335086247,2.6392440851241,2.79663961330319,1.88570590716735,1.4789720635034,1.91788129185331,2.03225435516742,1.7051954954177,2.31884052501892,1.47639793976286,2.57355673551675,2.12586653362806,1.22755056647971,1.30716887379806,1.27621296031806,1.74550029069968,1.83664803861121,1.25690298866389,1.58257269717493,1.59724773813444,0.812079494728574,1.38517876394449
"",17.30756055293,12.7047314155694,11.818017248486,11.2534784874314,10.6221009992791,10.2410781345407,8.50648177325529,8.34187060086524,7.19134022750557,7.33560757040744,5.35479896857511,6.20214457182433,5.74342189867588,6.05127018774702,4.52328745275111,4.6673708869638,5.43595810598854,5.50443515550323,5.2932666878974,5.86262893029064,5.47827055398392,6.3891421169542,4.97770831575882,5.87412815462678,4.94055708777012,4.43104617606825,4.9865269935644,4.73415909336413,4.32864447304391,5.23917649800919,3.39330340259916,4.21312119840966,4.63980543995504,3.39498325942409,3.68754799407637,2.90943009050695,3.57569920820145,3.59028788768409,2.42014630504666,1.97942754771649,2.68592961958775,3.42998645870785,2.1950938864062,2.90667027573643,3.03727390374403,2.0592387578454,1.65513707011838,2.0670237506747,2.22726247605078,1.90726705374902,2.55118938743568,1.70154955036093,2.60615921721344,2.25676877069041,1.42683845326514,1.49766926234693,1.38031459477653,1.93632932619297,1.99064568317863,1.38586837033014,1.71858000178445,1.70175281350177,0.93196665638181,1.47231666811944
"",18.5159076522878,12.6736346521815,12.2200519398267,11.5261981351963,10.3704806780135,10.4359490611065,8.46474578447953,8.22382082489567,6.95971962396006,7.57728854146927,5.83578223387607,6.65832877809356,6.2476367358903,6.48157841955366,5.00001054258203,5.01277508878933,5.92706716194096,5.99023768456142,5.66119469749163,6.30632485715246,5.90471462694678,6.82365840785305,5.50612807663327,6.14757301107883,5.32314167609043,4.80592006326845,5.37541535649087,5.25280014730928,4.62797407287198,5.62968626008722,3.79842788749197,4.55052406082693,5.12111627590631,3.83617461562537,4.0718637788404,3.30033635892966,3.98698128261046,3.92974791174779,2.77477759037094,2.30857107873049,3.00398374145867,3.67228853605662,2.41880621876793,3.19920380266701,3.296781203184,2.25042124892331,1.85156825813634,2.2304325666227,2.44329110679261,2.13004150411022,2.80420895147657,1.95940662596926,2.64621845045428,2.39992445145741,1.65634431844887,1.71517332823317,1.49383193889541,2.14686546644607,2.1568959537406,1.52828025610077,1.86699280171556,1.81574781198469,1.06861726616982,1.56721900079476
"",19.8039638685469,12.8363483664363,12.7878454650562,11.9231481584095,10.3002005804405,10.7275540005073,8.51838390773387,8.24240575326659,6.86056003806417,7.86279303909935,6.35606853731667,7.15400600238299,6.80528013282338,6.94552291621891,5.53319973852533,5.39634034932299,6.46794721709072,6.50538627996316,6.07465879992716,6.79263404818839,6.3604257513358,7.30595188074392,6.08255058885103,6.44014768435824,5.73836709717599,5.22638095377485,5.80690827268238,5.83108722332519,4.96102298464026,6.04505826309079,4.24931059233412,4.92285910114147,5.65123896939622,4.33286763653018,4.49907808457545,3.73900988173934,4.43963254738879,4.3046579680696,3.1749408880932,2.68689020745463,3.36007413920964,3.93508027326594,2.67205066766588,3.51777866657603,3.57539060157739,2.46219819637812,2.07005799429637,2.41120049654767,2.68420216454072,2.37318548396445,3.07787122865451,2.25337285742459,2.6976967543962,2.5590034138705,1.91883567410388,1.96289428765372,1.61822846752077,2.37829870391626,2.3359278100403,1.68569301599678,2.0294258479445,1.94172615101177,1.22361217725239,1.67196790901282
