South Korea, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 19/08/2022
Year    Age        ASFR
2000     12-    0.00000
2000     13     0.00000
2000     14     0.00003
2000     15     0.00017
2000     16     0.00061
2000     17     0.00177
2000     18     0.00318
2000     19     0.00637
2000     20     0.01195
2000     21     0.01912
2000     22     0.03236
2000     23     0.04906
2000     24     0.08563
2000     25     0.10824
2000     26     0.14373
2000     27     0.16706
2000     28     0.16999
2000     29     0.16120
2000     30     0.13167
2000     31     0.10400
2000     32     0.07740
2000     33     0.05847
2000     34     0.04361
2000     35     0.03057
2000     36     0.02290
2000     37     0.01789
2000     38     0.01103
2000     39     0.00766
2000     40     0.00531
2000     41     0.00335
2000     42     0.00225
2000     43     0.00130
2000     44     0.00081
2000     45     0.00046
2000     46     0.00027
2000     47     0.00017
2000     48     0.00012
2000     49     0.00011
2000     50     0.00013
2000     51     0.00009
2000     52     0.00004
2000     53     0.00001
2000     54     0.00000
2000     55+    0.00000
2001     12-    0.00000
2001     13     0.00000
2001     14     0.00002
2001     15     0.00014
2001     16     0.00058
2001     17     0.00139
2001     18     0.00280
2001     19     0.00582
2001     20     0.00945
2001     21     0.01584
2001     22     0.02559
2001     23     0.04146
2001     24     0.07008
2001     25     0.09121
2001     26     0.11865
2001     27     0.14456
2001     28     0.15125
2001     29     0.14026
2001     30     0.12310
2001     31     0.09649
2001     32     0.07447
2001     33     0.05407
2001     34     0.04029
2001     35     0.03052
2001     36     0.02150
2001     37     0.01605
2001     38     0.01220
2001     39     0.00763
2001     40     0.00505
2001     41     0.00335
2001     42     0.00203
2001     43     0.00133
2001     44     0.00067
2001     45     0.00045
2001     46     0.00028
2001     47     0.00018
2001     48     0.00011
2001     49     0.00011
2001     50     0.00012
2001     51     0.00007
2001     52     0.00003
2001     53     0.00001
2001     54     0.00000
2001     55+    0.00000
2002     12-    0.00000
2002     13     0.00002
2002     14     0.00016
2002     15     0.00027
2002     16     0.00070
2002     17     0.00150
2002     18     0.00353
2002     19     0.00666
2002     20     0.00868
2002     21     0.01343
2002     22     0.02155
2002     23     0.03278
2002     24     0.06142
2002     25     0.07141
2002     26     0.09886
2002     27     0.12332
2002     28     0.13277
2002     29     0.12603
2002     30     0.11408
2002     31     0.09669
2002     32     0.07317
2002     33     0.05406
2002     34     0.03820
2002     35     0.02914
2002     36     0.02174
2002     37     0.01474
2002     38     0.01085
2002     39     0.00800
2002     40     0.00488
2002     41     0.00323
2002     42     0.00201
