United Kingdom, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 01/12/2022
Year    Age        ASFR
1974     12-    0.00000
1974     13     0.00004
1974     14     0.00071
1974     15     0.00348
1974     16     0.01570
1974     17     0.04115
1974     18     0.06278
1974     19     0.08328
1974     20     0.10094
1974     21     0.11611
1974     22     0.12675
1974     23     0.13462
1974     24     0.14242
1974     25     0.14425
1974     26     0.14405
1974     27     0.13524
1974     28     0.11621
1974     29     0.10165
1974     30     0.08782
1974     31     0.07012
1974     32     0.05784
1974     33     0.04655
1974     34     0.03995
1974     35     0.03238
1974     36     0.02594
1974     37     0.02189
1974     38     0.01767
1974     39     0.01379
1974     40     0.01088
1974     41     0.00747
1974     42     0.00531
1974     43     0.00333
1974     44     0.00191
1974     45     0.00095
1974     46     0.00051
1974     47     0.00027
1974     48     0.00009
1974     49     0.00006
1974     50     0.00003
1974     51     0.00002
1974     52     0.00001
1974     53     0.00001
1974     54     0.00000
1974     55+    0.00000
1975     12-    0.00001
1975     13     0.00004
1975     14     0.00062
1975     15     0.00328
1975     16     0.01317
1975     17     0.03549
1975     18     0.05788
1975     19     0.07737
1975     20     0.09282
1975     21     0.10710
1975     22     0.11910
1975     23     0.12646
1975     24     0.13183
1975     25     0.13870
1975     26     0.13497
1975     27     0.12928
1975     28     0.11637
1975     29     0.09779
1975     30     0.08383
1975     31     0.06914
1975     32     0.05585
1975     33     0.04456
1975     34     0.03682
1975     35     0.03073
1975     36     0.02491
1975     37     0.01982
1975     38     0.01635
1975     39     0.01247
1975     40     0.00961
1975     41     0.00671
1975     42     0.00482
1975     43     0.00301
1975     44     0.00171
1975     45     0.00105
1975     46     0.00043
1975     47     0.00025
1975     48     0.00011
1975     49     0.00008
1975     50     0.00005
1975     51     0.00003
1975     52     0.00001
1975     53     0.00001
1975     54     0.00000
1975     55+    0.00000
1976     12-    0.00000
1976     13     0.00004
1976     14     0.00058
1976     15     0.00294
1976     16     0.01203
1976     17     0.02997
1976     18     0.05085
1976     19     0.07064
1976     20     0.08718
1976     21     0.10133
1976     22     0.11356
1976     23     0.12243
1976     24     0.12895
1976     25     0.13316
1976     26     0.13318
1976     27     0.12562
1976     28     0.11619
1976     29     0.10148
1976     30     0.08337
1976     31     0.06695
1976     32     0.05575
1976     33     0.04465
1976     34     0.03542
1976     35     0.02877
1976     36     0.02416
1976     37     0.01860
1976     38     0.01467
1976     39     0.01143
1976     40     0.00884
1976     41     0.00604
1976     42     0.00435
1976     43     0.00260
1976     44     0.00157
1976     45     0.00084
1976     46     0.00045
1976     47     0.00022
1976     48     0.00014
1976     49     0.00005
1976     50     0.00004
1976     51     0.00002
1976     52     0.00001
1976     53     0.00001
1976     54     0.00000
1976     55+    0.00000
1977     12-    0.00000
1977     13     0.00003
1977     14     0.00051
1977     15     0.00258
1977     16     0.01148
1977     17     0.02804
1977     18     0.04588
1977     19     0.06408
1977     20     0.08266
1977     21     0.09593
1977     22     0.10733
1977     23     0.11573
1977     24     0.12404
1977     25     0.13012
1977     26     0.12724
1977     27     0.12365
1977     28     0.11310
1977     29     0.10174
1977     30     0.08666
1977     31     0.06750
1977     32     0.05603
1977     33     0.04512
1977     34     0.03566
1977     35     0.02854
1977     36     0.02213
1977     37     0.01833
1977     38     0.01433
1977     39     0.01098
1977     40     0.00784
1977     41     0.00563
1977     42     0.00397
1977     43     0.00260
1977     44     0.00148
1977     45     0.00075
1977     46     0.00041
1977     47     0.00026
1977     48     0.00012
1977     49     0.00007
1977     50     0.00001
1977     51     0.00001
1977     52     0.00000
1977     53     0.00000
1977     54     0.00000
1977     55+    0.00000
1978     12-    0.00000
1978     13     0.00003
1978     14     0.00048
1978     15     0.00274
1978     16     0.01138
1978     17     0.02756
1978     18     0.04600
1978     19     0.06419
1978     20     0.08204
1978     21     0.09948
1978     22     0.11118
1978     23     0.11941
1978     24     0.12952
1978     25     0.13416
1978     26     0.13302
1978     27     0.12724
1978     28     0.11884
1978     29     0.10607
1978     30     0.09309
1978     31     0.07590
1978     32     0.05871
1978     33     0.04742
1978     34     0.03875
1978     35     0.03116
1978     36     0.02385
1978     37     0.01871
1978     38     0.01493
1978     39     0.01087
1978     40     0.00798
1978     41     0.00542
1978     42     0.00385
1978     43     0.00256
1978     44     0.00149
1978     45     0.00080
1978     46     0.00053
1978     47     0.00024
1978     48     0.00014
1978     49     0.00006
1978     50     0.00004
1978     51     0.00003
1978     52     0.00001
1978     53     0.00001
1978     54     0.00000
1978     55+    0.00000
1979     12-    0.00000
1979     13     0.00003
1979     14     0.00053
1979     15     0.00277
1979     16     0.01088
1979     17     0.02816
1979     18     0.04721
1979     19     0.06659
1979     20     0.08363
1979     21     0.10084
1979     22     0.11662
1979     23     0.12744
1979     24     0.13406
1979     25     0.14123
1979     26     0.14262
1979     27     0.13645
1979     28     0.12762
1979     29     0.11575
1979     30     0.09971
1979     31     0.08278
1979     32     0.06763
1979     33     0.05281
1979     34     0.04232
1979     35     0.03421
1979     36     0.02655
1979     37     0.02022
1979     38     0.01547
1979     39     0.01199
1979     40     0.00862
1979     41     0.00581
1979     42     0.00383
1979     43     0.00248
1979     44     0.00160
1979     45     0.00085
1979     46     0.00046
1979     47     0.00028
1979     48     0.00015
1979     49     0.00008
1979     50     0.00005
1979     51     0.00003
1979     52     0.00002
1979     53     0.00001
1979     54     0.00000
1979     55+    0.00000
1980     12-    0.00000
1980     13     0.00004
1980     14     0.00051
1980     15     0.00253
1980     16     0.01057
1980     17     0.02745
1980     18     0.04734
1980     19     0.06681
1980     20     0.08577
1980     21     0.10183
1980     22     0.11706
1980     23     0.12951
1980     24     0.13670
1980     25     0.14356
1980     26     0.14399
1980     27     0.14020
1980     28     0.12905
1980     29     0.11593
1980     30     0.10398
1980     31     0.08497
1980     32     0.06994
1980     33     0.05592
1980     34     0.04371
1980     35     0.03485
1980     36     0.02788
1980     37     0.02150
1980     38     0.01621
1980     39     0.01188
1980     40     0.00873
1980     41     0.00583
1980     42     0.00384
1980     43     0.00249
1980     44     0.00150
1980     45     0.00083
1980     46     0.00054
1980     47     0.00036
1980     48     0.00017
1980     49     0.00011
1980     50     0.00011
1980     51     0.00007
1980     52     0.00003
1980     53     0.00001
1980     54     0.00000
1980     55+    0.00000
1981     12-    0.00000
1981     13     0.00003
1981     14     0.00051
1981     15     0.00229
1981     16     0.01017
1981     17     0.02461
1981     18     0.04272
1981     19     0.06161
1981     20     0.07890
1981     21     0.09746
1981     22     0.10844
1981     23     0.12063
1981     24     0.13354
1981     25     0.13940
1981     26     0.13587
1981     27     0.13465
1981     28     0.12644
1981     29     0.11493
1981     30     0.10033
1981     31     0.08630
1981     32     0.06920
1981     33     0.05710
1981     34     0.04347
1981     35     0.03370
1981     36     0.02632
1981     37     0.02157
1981     38     0.01535
1981     39     0.01230
1981     40     0.00814
1981     41     0.00708
1981     42     0.00398
1981     43     0.00232
1981     44     0.00145
1981     45     0.00102
1981     46     0.00058
1981     47     0.00047
1981     48     0.00010
1981     49     0.00007
1981     50     0.00007
1981     51     0.00005
1981     52     0.00002
1981     53     0.00001
1981     54     0.00000
1981     55+    0.00000
1982     12-    0.00001
1982     13     0.00003
1982     14     0.00050
1982     15     0.00238
1982     16     0.00992
1982     17     0.02490
1982     18     0.04131
1982     19     0.05879
1982     20     0.07490
1982     21     0.09160
1982     22     0.10611
1982     23     0.11645
1982     24     0.12782
1982     25     0.13399
1982     26     0.13302
1982     27     0.12909
1982     28     0.12338
1982     29     0.11480
1982     30     0.09992
1982     31     0.08288
1982     32     0.06901
1982     33     0.05533
1982     34     0.04590
1982     35     0.03621
1982     36     0.02777
1982     37     0.02127
1982     38     0.01616
1982     39     0.01171
1982     40     0.00846
1982     41     0.00568
1982     42     0.00396
1982     43     0.00235
1982     44     0.00133
1982     45     0.00081
1982     46     0.00046
1982     47     0.00032
1982     48     0.00021
1982     49     0.00013
1982     50     0.00012
1982     51     0.00008
1982     52     0.00003
1982     53     0.00001
1982     54     0.00000
1982     55+    0.00000
1983     12-    0.00000
1983     13     0.00003
1983     14     0.00049
1983     15     0.00268
1983     16     0.01016
1983     17     0.02427
1983     18     0.03970
1983     19     0.05614
1983     20     0.07115
1983     21     0.08689
1983     22     0.10296
1983     23     0.11566
1983     24     0.12451
1983     25     0.13261
1983     26     0.13432
1983     27     0.12926
1983     28     0.12254
1983     29     0.11342
1983     30     0.10297
1983     31     0.08552
1983     32     0.07065
1983     33     0.05697
1983     34     0.04586
1983     35     0.03671
1983     36     0.02866
1983     37     0.02139
1983     38     0.01619
1983     39     0.01196
1983     40     0.00848
1983     41     0.00598
1983     42     0.00394
1983     43     0.00239
1983     44     0.00137
1983     45     0.00084
1983     46     0.00047
1983     47     0.00037
1983     48     0.00019
1983     49     0.00015
1983     50     0.00013
1983     51     0.00007
1983     52     0.00003
1983     53     0.00001
1983     54     0.00000
1983     55+    0.00000
1984     12-    0.00000
1984     13     0.00005
1984     14     0.00060
1984     15     0.00278
1984     16     0.01063
1984     17     0.02546
1984     18     0.04044
1984     19     0.05572
1984     20     0.06922
1984     21     0.08367
1984     22     0.09888
1984     23     0.11128
1984     24     0.12408
1984     25     0.12879
1984     26     0.13347
1984     27     0.13038
1984     28     0.12394
1984     29     0.11364
1984     30     0.10343
1984     31     0.08889
1984     32     0.07227
1984     33     0.05843
1984     34     0.04757
1984     35     0.03722
1984     36     0.02954
1984     37     0.02274
1984     38     0.01654
1984     39     0.01197
1984     40     0.00883
1984     41     0.00578
1984     42     0.00396
1984     43     0.00239
1984     44     0.00151
1984     45     0.00072
1984     46     0.00045
1984     47     0.00022
1984     48     0.00021
1984     49     0.00010
1984     50     0.00010
1984     51     0.00006
1984     52     0.00003
1984     53     0.00001
1984     54     0.00000
1984     55+    0.00000
1985     12-    0.00000
1985     13     0.00003
1985     14     0.00059
1985     15     0.00308
1985     16     0.01165
1985     17     0.02748
1985     18     0.04329
1985     19     0.05797
1985     20     0.06980
1985     21     0.08425
1985     22     0.09641
1985     23     0.10946
1985     24     0.12037
1985     25     0.13024
1985     26     0.13249
1985     27     0.13185
1985     28     0.12694
1985     29     0.11668
1985     30     0.10498
1985     31     0.09008
1985     32     0.07629
1985     33     0.06208
1985     34     0.04903
1985     35     0.03939
1985     36     0.03111
1985     37     0.02321
1985     38     0.01687
1985     39     0.01258
1985     40     0.00870
1985     41     0.00591
1985     42     0.00386
1985     43     0.00238
1985     44     0.00147
1985     45     0.00083
1985     46     0.00043
1985     47     0.00026
1985     48     0.00016
1985     49     0.00010
1985     50     0.00011
1985     51     0.00007
1985     52     0.00003
1985     53     0.00001
1985     54     0.00000
1985     55+    0.00000
1986     12-    0.00000
1986     13     0.00004
1986     14     0.00057
1986     15     0.00303
1986     16     0.01181
1986     17     0.02814
1986     18     0.04525
1986     19     0.05898
1986     20     0.07031
1986     21     0.08167
1986     22     0.09427
1986     23     0.10598
1986     24     0.11603
1986     25     0.12538
1986     26     0.12893
1986     27     0.12797
1986     28     0.12384
1986     29     0.11631
1986     30     0.10587
1986     31     0.09082
1986     32     0.07757
1986     33     0.06441
1986     34     0.05099
1986     35     0.04188
1986     36     0.03175
1986     37     0.02357
1986     38     0.01797
1986     39     0.01292
1986     40     0.00907
1986     41     0.00579
1986     42     0.00358
1986     43     0.00220
1986     44     0.00132
1986     45     0.00075
1986     46     0.00042
1986     47     0.00021
1986     48     0.00013
1986     49     0.00011
1986     50     0.00011
1986     51     0.00007
1986     52     0.00003
1986     53     0.00001
1986     54     0.00000
1986     55+    0.00000
1987     12-    0.00000
1987     13     0.00004
1987     14     0.00057
1987     15     0.00310
1987     16     0.01200
1987     17     0.02874
1987     18     0.04591
1987     19     0.06095
1987     20     0.07089
1987     21     0.08260
1987     22     0.09385
1987     23     0.10581
1987     24     0.11562
1987     25     0.12359
1987     26     0.12974
1987     27     0.13031
1987     28     0.12467
1987     29     0.11859
1987     30     0.10884
1987     31     0.09378
1987     32     0.07994
1987     33     0.06691
1987     34     0.05442
1987     35     0.04384
1987     36     0.03383
1987     37     0.02561
1987     38     0.01858
1987     39     0.01338
1987     40     0.00932
1987     41     0.00603
1987     42     0.00380
1987     43     0.00223
1987     44     0.00130
1987     45     0.00069
1987     46     0.00040
1987     47     0.00027
1987     48     0.00011
1987     49     0.00010
1987     50     0.00011
1987     51     0.00007
1987     52     0.00003
1987     53     0.00001
1987     54     0.00000
1987     55+    0.00000
1988     12-    0.00000
1988     13     0.00004
1988     14     0.00064
1988     15     0.00319
1988     16     0.01292
1988     17     0.03018
1988     18     0.04745
1988     19     0.06260
1988     20     0.07377
1988     21     0.08413
1988     22     0.09411
1988     23     0.10448
1988     24     0.11535
1988     25     0.12308
1988     26     0.12654
1988     27     0.12831
1988     28     0.12515
1988     29     0.11849
1988     30     0.10849
1988     31     0.09443
1988     32     0.08100
1988     33     0.06727
1988     34     0.05677
1988     35     0.04521
1988     36     0.03519
