South Korea, Female population exposure by birth cohort and age (horizontal parallelograms, age in completed years (ACY))
Last modified: 19/08/2022
Cohort  Age       Exposure
1945     12              .
1945     13              .
1945     14              .
1945     15              .
1945     16              .
1945     17              .
1945     18              .
1945     19              .
1945     20              .
1945     21              .
1945     22              .
1945     23              .
1945     24              .
1945     25              .
1945     26              .
1945     27              .
1945     28              .
1945     29              .
1945     30              .
1945     31              .
1945     32              .
1945     33              .
1945     34              .
1945     35              .
1945     36              .
1945     37              .
1945     38              .
1945     39              .
1945     40              .
1945     41              .
1945     42              .
1945     43              .
1945     44              .
1945     45              .
1945     46              .
1945     47              .
1945     48              .
1945     49              .
1945     50              .
1945     51              .
1945     52              .
1945     53              .
1945     54              .
1945     55      183024.20
1946     12              .
1946     13              .
1946     14              .
1946     15              .
1946     16              .
1946     17              .
1946     18              .
1946     19              .
1946     20              .
1946     21              .
1946     22              .
1946     23              .
1946     24              .
1946     25              .
1946     26              .
1946     27              .
1946     28              .
1946     29              .
1946     30              .
1946     31              .
1946     32              .
1946     33              .
1946     34              .
1946     35              .
1946     36              .
1946     37              .
1946     38              .
1946     39              .
1946     40              .
1946     41              .
1946     42              .
1946     43              .
1946     44              .
1946     45              .
1946     46              .
1946     47              .
1946     48              .
1946     49              .
1946     50              .
1946     51              .
1946     52              .
1946     53              .
1946     54      200132.42
1946     55      199557.89
1947     12              .
1947     13              .
1947     14              .
1947     15              .
1947     16              .
1947     17              .
1947     18              .
1947     19              .
1947     20              .
1947     21              .
1947     22              .
1947     23              .
1947     24              .
1947     25              .
1947     26              .
1947     27              .
1947     28              .
1947     29              .
1947     30              .
1947     31              .
1947     32              .
1947     33              .
1947     34              .
1947     35              .
1947     36              .
1947     37              .
1947     38              .
1947     39              .
1947     40              .
1947     41              .
1947     42              .
1947     43              .
1947     44              .
1947     45              .
1947     46              .
1947     47              .
1947     48              .
1947     49              .
1947     50              .
1947     51              .
1947     52              .
1947     53      251138.42
1947     54      250324.24
1947     55      249477.16
1948     12              .
1948     13              .
1948     14              .
1948     15              .
1948     16              .
1948     17              .
1948     18              .
1948     19              .
1948     20              .
1948     21              .
1948     22              .
1948     23              .
1948     24              .
1948     25              .
1948     26              .
1948     27              .
1948     28              .
1948     29              .
1948     30              .
1948     31              .
1948     32              .
1948     33              .
1948     34              .
1948     35              .
1948     36              .
1948     37              .
1948     38              .
1948     39              .
1948     40              .
1948     41              .
1948     42              .
1948     43              .
1948     44              .
1948     45              .
1948     46              .
1948     47              .
1948     48              .
1948     49              .
1948     50              .
1948     51              .
1948     52      243641.84
1948     53      242988.57
1948     54      242386.49
1948     55      241419.79
1949     12              .
1949     13              .
1949     14              .
1949     15              .
1949     16              .
1949     17              .
1949     18              .
1949     19              .
1949     20              .
1949     21              .
1949     22              .
1949     23              .
1949     24              .
1949     25              .
1949     26              .
1949     27              .
1949     28              .
1949     29              .
1949     30              .
1949     31              .
1949     32              .
1949     33              .
1949     34              .
1949     35              .
1949     36              .
1949     37              .
1949     38              .
1949     39              .
1949     40              .
1949     41              .
1949     42              .
1949     43              .
1949     44              .
1949     45              .
1949     46              .
1949     47              .
1949     48              .
1949     49              .
1949     50              .
1949     51      244076.57
1949     52      243445.49
1949     53      242797.12
1949     54      241868.16
1949     55      241130.97
1950     12              .
1950     13              .
1950     14              .
1950     15              .
1950     16              .
1950     17              .
1950     18              .
1950     19              .
1950     20              .
1950     21              .
1950     22              .
1950     23              .
1950     24              .
1950     25              .
1950     26              .
1950     27              .
1950     28              .
1950     29              .
1950     30              .
1950     31              .
1950     32              .
1950     33              .
1950     34              .
1950     35              .
1950     36              .
1950     37              .
1950     38              .
1950     39              .
1950     40              .
1950     41              .
1950     42              .
1950     43              .
1950     44              .
1950     45              .
1950     46              .
1950     47              .
1950     48              .
1950     49              .
1950     50      239828.02
1950     51      239160.06
1950     52      238557.70
1950     53      237657.79
1950     54      236911.28
1950     55      236477.92
1951     12              .
1951     13              .
1951     14              .
1951     15              .
1951     16              .
1951     17              .
1951     18              .
1951     19              .
1951     20              .
1951     21              .
1951     22              .
1951     23              .
1951     24              .
1951     25              .
1951     26              .
1951     27              .
1951     28              .
1951     29              .
1951     30              .
1951     31              .
1951     32              .
1951     33              .
1951     34              .
1951     35              .
1951     36              .
1951     37              .
1951     38              .
1951     39              .
1951     40              .
1951     41              .
1951     42              .
1951     43              .
1951     44              .
1951     45              .
1951     46              .
1951     47              .
1951     48              .
1951     49      223751.32
1951     50      223240.98
1951     51      222780.43
1951     52      221902.67
1951     53      221315.74
1951     54      221027.56
1951     55      220597.39
1952     12              .
1952     13              .
1952     14              .
1952     15              .
1952     16              .
1952     17              .
1952     18              .
1952     19              .
1952     20              .
1952     21              .
1952     22              .
1952     23              .
1952     24              .
1952     25              .
1952     26              .
1952     27              .
1952     28              .
1952     29              .
1952     30              .
1952     31              .
1952     32              .
1952     33              .
1952     34              .
1952     35              .
1952     36              .
1952     37              .
1952     38              .
1952     39              .
1952     40              .
1952     41              .
1952     42              .
1952     43              .
1952     44              .
1952     45              .
1952     46              .
1952     47              .
1952     48      305384.96
1952     49      304699.31
1952     50      303957.60
1952     51      302777.32
1952     52      301940.46
1952     53      301327.57
1952     54      300807.22
1952     55      300529.09
1953     12              .
1953     13              .
1953     14              .
1953     15              .
1953     16              .
1953     17              .
1953     18              .
1953     19              .
1953     20              .
1953     21              .
1953     22              .
1953     23              .
1953     24              .
1953     25              .
1953     26              .
1953     27              .
1953     28              .
1953     29              .
1953     30              .
1953     31              .
1953     32              .
1953     33              .
1953     34              .
1953     35              .
1953     36              .
1953     37              .
1953     38              .
1953     39              .
1953     40              .
1953     41              .
1953     42              .
1953     43              .
1953     44              .
1953     45              .
1953     46              .
1953     47      276051.69
1953     48      275367.54
1953     49      274758.13
1953     50      273591.24
1953     51      272747.14
1953     52      272299.79
1953     53      271834.29
1953     54      271600.13
1953     55      271392.57
1954     12              .
1954     13              .
1954     14              .
1954     15              .
1954     16              .
1954     17              .
1954     18              .
1954     19              .
1954     20              .
1954     21              .
1954     22              .
1954     23              .
1954     24              .
1954     25              .
1954     26              .
1954     27              .
1954     28              .
1954     29              .
1954     30              .
1954     31              .
1954     32              .
1954     33              .
1954     34              .
1954     35              .
1954     36              .
1954     37              .
1954     38              .
1954     39              .
1954     40              .
1954     41              .
1954     42              .
1954     43              .
1954     44              .
1954     45              .
1954     46      313057.00
1954     47      312431.67
1954     48      311693.43
1954     49      310543.32
1954     50      309723.84
1954     51      309193.24
1954     52      308740.98
1954     53      308532.98
1954     54      308377.05
1954     55      308053.50
1955     12              .
1955     13              .
1955     14              .
1955     15              .
1955     16              .
1955     17              .
1955     18              .
1955     19              .
1955     20              .
1955     21              .
1955     22              .
1955     23              .
1955     24              .
1955     25              .
1955     26              .
1955     27              .
1955     28              .
1955     29              .
1955     30              .
1955     31              .
1955     32              .
1955     33              .
1955     34              .
1955     35              .
1955     36              .
1955     37              .
1955     38              .
1955     39              .
1955     40              .
1955     41              .
1955     42              .
1955     43              .
1955     44              .
1955     45      374381.05
1955     46      373600.80
1955     47      372805.32
1955     48      371379.32
1955     49      370267.99
1955     50      369659.26
