Spain, Cohort fertility tables, birth orders 1 to 5+
Last modified: 04/04/2022
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1960    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1960    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1960    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1960    15    30   10000   0.00301   0.00301      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1960    16    89    9970   0.00898   0.00894     30     6     30   0.08586   0.20444      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1960    17   189    9881   0.01935   0.01917    119    22    113   0.10928   0.19039      6      2      6   0.11368   0.29601      0      0      0         .         .      0      0      0         .         .       0        .
1960    18   324    9691   0.03398   0.03341    309    52    281   0.12490   0.18533     28      6     26   0.12164   0.23012      2      1      2   0.17288   0.41939      0      0      0         .         .       0        .
1960    19   460    9368   0.05035   0.04911    632    95    553   0.12883   0.17141     80     13     72   0.11280   0.17706      8      1      7   0.10679   0.19358      1      0      1   0.11170   0.21099       0     4.00
1960    20   558    8908   0.06471   0.06268   1092   143    918   0.12726   0.15603    174     21    154   0.09895   0.13814     21      3     18   0.09850   0.14816      2      1      2   0.26221   0.43082       0     4.08
1960    21   598    8349   0.07428   0.07162   1651   188   1333   0.12212   0.14091    318     31    276   0.08809   0.11310     42      5     37   0.10237   0.13852      5      1      5   0.16632   0.25416       1     4.22
1960    22   641    7751   0.08629   0.08273   2249   235   1743   0.12060   0.13466    506     43    433   0.08040   0.09827     73      8     63   0.10176   0.12949     10      2     10   0.15359   0.21651       2     4.23
1960    23   665    7110   0.09816   0.09357   2890   271   2150   0.11566   0.12625    740     56    625   0.07614   0.08928    115     11     97   0.09061   0.11151     18      3     18   0.14768   0.19193       4     4.25
1960    24   671    6445   0.10991   0.10418   3555   318   2544   0.11693   0.12505   1012     66    840   0.06847   0.07873    171     14    142   0.08114   0.09611     29      5     29   0.14084   0.17407       8     4.27
