Spain, Period fertility tables, birth orders 1 to 5+
Last modified: 04/04/2022
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1991    12-  1.00000   0.00001   0.00001   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1991    13   0.99922   0.00009   0.00009   10000      1    9999      0   0.00075   0.00427   0.00426      0      0       1      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00001         .         .      0      0       0      0
1991    14   0.99879   0.00036   0.00036    9999      4    9997      1   0.00112   0.01384   0.01375      1      0       3      0   0.00007   0.00000   0.00000      0      0       0      0   0.00001         .         .      0      0       0      0   0.00001         .         .      0      0       0      0
1991    15   0.99720   0.00163   0.00163    9995     16    9987      5   0.00241   0.01385   0.01376      5      0      13      0   0.00038   0.00000   0.00000      0      0       0      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1991    16   0.99354   0.00448   0.00447    9979     45    9957     21   0.00556   0.02499   0.02469     21      1      43      0   0.00086   0.00352   0.00352      0      0       0      0   0.00005   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0
1991    17   0.98654   0.00927   0.00923    9935     92    9889     65   0.01184   0.05070   0.04944     64      5     108      1   0.00150   0.03275   0.03222      1      0       3      0   0.00012   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0
1991    18   0.97425   0.01495   0.01484    9843    146    9770    157   0.02280   0.06061   0.05883    150     13     219      7   0.00273   0.03366   0.03311      7      0      11      0   0.00021   0.01429   0.01419      0      0       0      0   0.00001         .         .      0      0       0      0
1991    19   0.95622   0.02014   0.01994    9697    193    9600    303   0.03838   0.07266   0.07012    283     27     370     20   0.00496   0.04666   0.04559     20      1      29      0   0.00039   0.02361   0.02334      0      0       1      0   0.00005   0.00000   0.00000      0      0       0      0
1991    20   0.93246   0.02509   0.02478    9503    235    9386    497   0.05781   0.07843   0.07547    450     43     550     47   0.00879   0.05963   0.05790     45      4      61      2   0.00077   0.06054   0.05876      2      0       3      0   0.00017   0.00000   0.00000      0      0       0      0
1991    21   0.90037   0.03013   0.02969    9268    275    9130    732   0.08207   0.08571   0.08219    642     65     753     90   0.01566   0.05522   0.05374     85      6     109      5   0.00159   0.06724   0.06505      5      0       7      0   0.00031   0.10199   0.09704      0      0       0      0
1991    22   0.86204   0.03736   0.03667    8993    330    8828   1007   0.10925   0.09493   0.09063    853     93     979    155   0.02537   0.04934   0.04815    143      9     178     11   0.00281   0.07807   0.07514     11      1      14      1   0.00053   0.09053   0.08661      1      0       1      0
1991    23   0.81748   0.04734   0.04624    8663    401    8463   1337   0.13877   0.09838   0.09377   1089    122    1239    248   0.03830   0.05085   0.04959    227     14     273     20   0.00454   0.07280   0.07024     18      2      23      2   0.00090   0.11047   0.10469      2      0       2      0
1991    24   0.76496   0.05965   0.05793    8262    479    8023   1738   0.17100   0.10402   0.09887   1368    160    1540    369   0.05523   0.04774   0.04663    335     19     395     34   0.00730   0.06241   0.06052     31      2      38      3   0.00151   0.10216   0.09720      3      0       4      0
1991    25   0.70247   0.07733   0.07445    7784    579    7494   2216   0.20620   0.11152   0.10563   1687    210    1887    530   0.07785   0.04319   0.04228    477     24     556     53   0.01107   0.05809   0.05645     47      3      56      6   0.00240   0.11092   0.10509      6      1       7      1
1991    26   0.62808   0.09517   0.09085    7204    654    6877   2796   0.24385   0.12097   0.11407   2056    274    2266    740   0.10808   0.04104   0.04022    663     31     767     77   0.01620   0.05363   0.05223     68      4      79      9   0.00379   0.08097   0.07782      9      1      11      2
