"","Pop","Year","Sex","Cause","Age","Count"
"1","USA",2000,1,1,0,116.740383240706
"2","USA",2000,1,1,1,89.3472128108279
"3","USA",2000,1,1,2,68.908845596976
"4","USA",2000,1,1,3,53.7928063552526
"5","USA",2000,1,1,4,42.694955740914
"6","USA",2000,1,1,5,34.5735819354851
"7","USA",2000,1,1,6,28.6346170071677
"8","USA",2000,1,1,7,24.3059380816301
"9","USA",2000,1,1,8,21.1670288721862
"10","USA",2000,1,1,9,18.929864295895
"11","USA",2000,1,1,10,17.3863763316584
"12","USA",2000,1,1,11,16.4013039160728
"13","USA",2000,1,1,12,15.8828553086483
"14","USA",2000,1,1,13,15.780238792729
"15","USA",2000,1,1,14,16.0700256893803
"16","USA",2000,1,1,15,16.7550644337512
"17","USA",2000,1,1,16,17.8639289889814
"18","USA",2000,1,1,17,19.4463582013211
"19","USA",2000,1,1,18,21.5881759864366
"20","USA",2000,1,1,19,24.4006372624398
"21","USA",2000,1,1,20,28.0474561830344
"22","USA",2000,1,1,21,32.7302924024843
"23","USA",2000,1,1,22,38.7276834891055
"24","USA",2000,1,1,23,46.3694601625532
"25","USA",2000,1,1,24,56.0966142636153
"26","USA",2000,1,1,25,68.3960064041396
"27","USA",2000,1,1,26,83.9005923567173
"28","USA",2000,1,1,27,103.22082288084
"29","USA",2000,1,1,28,127.112496809119
"30","USA",2000,1,1,29,156.088362506405
"31","USA",2000,1,1,30,190.705126611343
"32","USA",2000,1,1,31,230.775690560328
"33","USA",2000,1,1,32,276.107190536601
"34","USA",2000,1,1,33,325.359667919329
"35","USA",2000,1,1,34,377.247620938777
"36","USA",2000,1,1,35,429.511121480233
"37","USA",2000,1,1,36,480.146195720031
"38","USA",2000,1,1,37,527.048032633963
"39","USA",2000,1,1,38,568.516869098778
"40","USA",2000,1,1,39,604.009503610846
"41","USA",2000,1,1,40,632.981146214745
"42","USA",2000,1,1,41,657.059356147591
"43","USA",2000,1,1,42,676.216813558988
"44","USA",2000,1,1,43,691.424507218974
"45","USA",2000,1,1,44,702.249810403767
"46","USA",2000,1,1,45,707.487261336663
"47","USA",2000,1,1,46,706.502268369702
"48","USA",2000,1,1,47,697.683851698915
"49","USA",2000,1,1,48,681.134398278696
"50","USA",2000,1,1,49,657.307130189066
"51","USA",2000,1,1,50,627.258662927601
"52","USA",2000,1,1,51,593.130839383073
"53","USA",2000,1,1,52,556.305014182868
"54","USA",2000,1,1,53,519.470782921163
"55","USA",2000,1,1,54,483.644368528983
"56","USA",2000,1,1,55,451.269379320201
"57","USA",2000,1,1,56,422.619399646937
"58","USA",2000,1,1,57,399.00859597314
"59","USA",2000,1,1,58,380.169211118692
"60","USA",2000,1,1,59,366.2200987983
"61","USA",2000,1,1,60,356.78981866744
"62","USA",2000,1,1,61,351.47861234289
"63","USA",2000,1,1,62,350.053999689599
"64","USA",2000,1,1,63,352.155573164909
"65","USA",2000,1,1,64,357.726103024866
"66","USA",2000,1,1,65,366.458935544146
"67","USA",2000,1,1,66,378.405561396363
"68","USA",2000,1,1,67,393.238787454632
"69","USA",2000,1,1,68,411.030980460175
"70","USA",2000,1,1,69,431.339717031305
"71","USA",2000,1,1,70,454.151353756597
"72","USA",2000,1,1,71,478.753346163524
"73","USA",2000,1,1,72,504.905802713155
"74","USA",2000,1,1,73,531.432437283097
"75","USA",2000,1,1,74,557.720931325944
"76","USA",2000,1,1,75,582.013475160027
"77","USA",2000,1,1,76,603.308095821989
"78","USA",2000,1,1,77,619.84124733434
"79","USA",2000,1,1,78,630.64594915424
"80","USA",2000,1,1,79,634.777050868509
"81","USA",2000,1,1,80,631.844656155491
"82","USA",2000,1,1,81,621.746623345779
"83","USA",2000,1,1,82,604.718621877152
"84","USA",2000,1,1,83,580.656569186254
"85","USA",2000,1,1,84,550.112517936635
"86","USA",2000,1,1,85,513.15630004494
"87","USA",2000,1,1,86,470.81717455215
"88","USA",2000,1,1,87,424.140811260953
"89","USA",2000,1,1,88,374.816456655842
"90","USA",2000,1,1,89,324.670302212175
"91","USA",2000,1,1,90,275.54423757902
"92","USA",2000,1,1,91,229.187069448692
"93","USA",2000,1,1,92,186.863190455617
"94","USA",2000,1,1,93,149.610377581074
"95","USA",2000,1,1,94,117.767377886367
"96","USA",2000,1,1,95,91.385197170107
"97","USA",2000,1,1,96,70.0417307941659
"98","USA",2000,1,1,97,53.1493723840061
"99","USA",2000,1,1,98,40.0042391374925
"100","USA",2000,1,1,99,29.9196770423538
"101","USA",2000,1,1,100,22.2694387461094
"102","USA",2000,1,1,101,16.5163498708638
"103","USA",2000,1,1,102,12.2202212308339
"104","USA",2000,1,1,103,9.02590923791601
"105","USA",2000,1,1,104,6.65943974093323
"106","USA",2000,1,1,105,4.90971034344548
"107","USA",2000,1,1,106,3.61821991157293
"108","USA",2000,1,1,107,2.66571939052783
"109","USA",2000,1,1,108,1.96374420403742
"110","USA",2000,1,1,109,1.44652718327576
"111","USA",2000,1,1,110,1.06552917341377
"112","USA",2000,1,2,0,69.9006771419499
"113","USA",2000,1,2,1,68.873419253504
"114","USA",2000,1,2,2,67.9146098910734
"115","USA",2000,1,2,3,67.0536480397254
"116","USA",2000,1,2,4,66.3490622681196
"117","USA",2000,1,2,5,65.8439000647125
"118","USA",2000,1,2,6,65.5951960710512
"119","USA",2000,1,2,7,65.6518475444733
"120","USA",2000,1,2,8,66.0542220337247
"121","USA",2000,1,2,9,66.8452906529263
"122","USA",2000,1,2,10,68.0547260988404
"123","USA",2000,1,2,11,69.7209363508667
"124","USA",2000,1,2,12,71.858053398484
"125","USA",2000,1,2,13,74.4861461486018
"126","USA",2000,1,2,14,77.5926844572617
"127","USA",2000,1,2,15,81.1534930009373
"128","USA",2000,1,2,16,85.1352851969155
"129","USA",2000,1,2,17,89.471492122555
"130","USA",2000,1,2,18,94.1426512878713
"131","USA",2000,1,2,19,99.100692235561
"132","USA",2000,1,2,20,104.355478355392
"133","USA",2000,1,2,21,109.911999996652
"134","USA",2000,1,2,22,115.836829445593
"135","USA",2000,1,2,23,122.239818979058
"136","USA",2000,1,2,24,129.286378406214
"137","USA",2000,1,2,25,137.269737209346
"138","USA",2000,1,2,26,146.471416793314
"139","USA",2000,1,2,27,157.381940302728
"140","USA",2000,1,2,28,170.394991410114
"141","USA",2000,1,2,29,186.113219101163
"142","USA",2000,1,2,30,205.099038324787
"143","USA",2000,1,2,31,228.079935624869
"144","USA",2000,1,2,32,255.86928846491
"145","USA",2000,1,2,33,289.36543129535
"146","USA",2000,1,2,34,329.663637928377
"147","USA",2000,1,2,35,377.712010498973
"148","USA",2000,1,2,36,434.833003087353
"149","USA",2000,1,2,37,501.858186211007
"150","USA",2000,1,2,38,580.219898013208
"151","USA",2000,1,2,39,670.671765628851
"152","USA",2000,1,2,40,774.587869737164
"153","USA",2000,1,2,41,892.519362798973
"154","USA",2000,1,2,42,1025.53955755332
"155","USA",2000,1,2,43,1173.71529191945
"156","USA",2000,1,2,44,1337.55001635493
"157","USA",2000,1,2,45,1516.49198864485
"158","USA",2000,1,2,46,1710.2582996482
"159","USA",2000,1,2,47,1917.53082557295
"160","USA",2000,1,2,48,2137.05385588608
"161","USA",2000,1,2,49,2366.45321238625
"162","USA",2000,1,2,50,2603.44272168551
"163","USA",2000,1,2,51,2844.91518803624
"164","USA",2000,1,2,52,3088.02395201807
"165","USA",2000,1,2,53,3330.72937629333
"166","USA",2000,1,2,54,3570.72380539338
"167","USA",2000,1,2,55,3809.09021366594
"168","USA",2000,1,2,56,4045.02241920986
"169","USA",2000,1,2,57,4282.78638571391
"170","USA",2000,1,2,58,4523.25663784804
"171","USA",2000,1,2,59,4772.67489172152
"172","USA",2000,1,2,60,5033.38112905175
"173","USA",2000,1,2,61,5312.79670431134
"174","USA",2000,1,2,62,5614.18929235041
"175","USA",2000,1,2,63,5941.77721338102
"176","USA",2000,1,2,64,6298.05398318051
"177","USA",2000,1,2,65,6680.47991596787
"178","USA",2000,1,2,66,7088.82251555115
"179","USA",2000,1,2,67,7514.12533772706
"180","USA",2000,1,2,68,7952.44442717104
"181","USA",2000,1,2,69,8390.14172015942
"182","USA",2000,1,2,70,8819.4428458848
"183","USA",2000,1,2,71,9221.07584802208
"184","USA",2000,1,2,72,9583.2085609681
"185","USA",2000,1,2,73,9879.93434888006
"186","USA",2000,1,2,74,10096.478306657
"187","USA",2000,1,2,75,10203.8385612055
"188","USA",2000,1,2,76,10189.9585865927
"189","USA",2000,1,2,77,10045.5742363501
"190","USA",2000,1,2,78,9773.4405462924
"191","USA",2000,1,2,79,9397.97378993369
"192","USA",2000,1,2,80,8937.80206199885
"193","USA",2000,1,2,81,8426.1738771756
"194","USA",2000,1,2,82,7882.0613230843
"195","USA",2000,1,2,83,7308.09707674423
"196","USA",2000,1,2,84,6712.17361296042
"197","USA",2000,1,2,85,6081.3545760248
"198","USA",2000,1,2,86,5423.52195472936
"199","USA",2000,1,2,87,4742.95405883397
"200","USA",2000,1,2,88,4058.89434537615
"201","USA",2000,1,2,89,3392.89186303314
"202","USA",2000,1,2,90,2767.46580193548
"203","USA",2000,1,2,91,2201.85486195745
"204","USA",2000,1,2,92,1708.42463729984
"205","USA",2000,1,2,93,1293.57764522438
"206","USA",2000,1,2,94,956.258316841998
"207","USA",2000,1,2,95,691.076571519871
"208","USA",2000,1,2,96,488.730774919194
"209","USA",2000,1,2,97,339.109765702726
"210","USA",2000,1,2,98,231.327503708387
"211","USA",2000,1,2,99,155.699857689161
"212","USA",2000,1,2,100,103.715634209328
"213","USA",2000,1,2,101,68.585612517244
"214","USA",2000,1,2,102,45.1530873116268
"215","USA",2000,1,2,103,29.6346737613087
"216","USA",2000,1,2,104,19.4162923680916
"217","USA",2000,1,2,105,12.7062746338264
"218","USA",2000,1,2,106,8.31017465238064
"219","USA",2000,1,2,107,5.43285465476575
"220","USA",2000,1,2,108,3.55119243345836
"221","USA",2000,1,2,109,2.32100256011411
"222","USA",2000,1,2,110,1.51693524984623
"223","USA",2000,1,3,0,14.0376967025113
"224","USA",2000,1,3,1,13.0440700953082
"225","USA",2000,1,3,2,12.135886636399
"226","USA",2000,1,3,3,11.3133303210028
"227","USA",2000,1,3,4,10.5787089537253
"228","USA",2000,1,3,5,9.93019032840717
"229","USA",2000,1,3,6,9.36592123614405
"230","USA",2000,1,3,7,8.88250866285576
"231","USA",2000,1,3,8,8.47601688213803
"232","USA",2000,1,3,9,8.14280176677178
"233","USA",2000,1,3,10,7.87886652895285
"234","USA",2000,1,3,11,7.68143987359485
"235","USA",2000,1,3,12,7.54733674901404
"236","USA",2000,1,3,13,7.47493268696513
"237","USA",2000,1,3,14,7.46229662905363
"238","USA",2000,1,3,15,7.50890500369715
"239","USA",2000,1,3,16,7.61437377527648
"240","USA",2000,1,3,17,7.77921921429995
"241","USA",2000,1,3,18,8.00470627922598
"242","USA",2000,1,3,19,8.29227248053946
"243","USA",2000,1,3,20,8.64452326903749
"244","USA",2000,1,3,21,9.0631841461561
"245","USA",2000,1,3,22,9.55236600220703
"246","USA",2000,1,3,23,10.1144304430886
"247","USA",2000,1,3,24,10.7548456383088
"248","USA",2000,1,3,25,11.4765876671168
"249","USA",2000,1,3,26,12.2858157536728
"250","USA",2000,1,3,27,13.1850110719101
"251","USA",2000,1,3,28,14.1797751397556
"252","USA",2000,1,3,29,15.2698209304425
"253","USA",2000,1,3,30,16.4585562624021
"254","USA",2000,1,3,31,17.7404779750022
"255","USA",2000,1,3,32,19.115326502551
"256","USA",2000,1,3,33,20.5714717667908
"257","USA",2000,1,3,34,22.1035017757647
"258","USA",2000,1,3,35,23.6927631639139
"259","USA",2000,1,3,36,25.3280009720609
"260","USA",2000,1,3,37,26.9844688188787
"261","USA",2000,1,3,38,28.646092022362
"262","USA",2000,1,3,39,30.2861319126167
"263","USA",2000,1,3,40,31.8859165856317
"264","USA",2000,1,3,41,33.4206653149492
"265","USA",2000,1,3,42,34.8707336854406
"266","USA",2000,1,3,43,36.2125560660645
"267","USA",2000,1,3,44,37.4272528281008
"268","USA",2000,1,3,45,38.4939280721036
"269","USA",2000,1,3,46,39.3988696025433
"270","USA",2000,1,3,47,40.1355971255082
"271","USA",2000,1,3,48,40.7014170195264
"272","USA",2000,1,3,49,41.118300847415
"273","USA",2000,1,3,50,41.3959385429995
"274","USA",2000,1,3,51,41.582946114622
"275","USA",2000,1,3,52,41.6960816005019
"276","USA",2000,1,3,53,41.7928682199196
"277","USA",2000,1,3,54,41.8922719770664
"278","USA",2000,1,3,55,42.0548839388992
"279","USA",2000,1,3,56,42.2994086046711
"280","USA",2000,1,3,57,42.679740399719
"281","USA",2000,1,3,58,43.2133182718691
"282","USA",2000,1,3,59,43.9387480454566
"283","USA",2000,1,3,60,44.8731488668635
"284","USA",2000,1,3,61,46.0410162367669
"285","USA",2000,1,3,62,47.4604278191164
"286","USA",2000,1,3,63,49.1410622702914
"287","USA",2000,1,3,64,51.1004748455593
"288","USA",2000,1,3,65,53.3277059206687
"289","USA",2000,1,3,66,55.8352096419813
"290","USA",2000,1,3,67,58.5931175327473
"291","USA",2000,1,3,68,61.6044403686761
"292","USA",2000,1,3,69,64.822206214976
"293","USA",2000,1,3,70,68.2354696064571
"294","USA",2000,1,3,71,71.7749881037358
"295","USA",2000,1,3,72,75.4108353455889
"296","USA",2000,1,3,73,79.057708980166
"297","USA",2000,1,3,74,82.6680649270146
"298","USA",2000,1,3,75,86.14389489728
"299","USA",2000,1,3,76,89.4219870660486
"300","USA",2000,1,3,77,92.3664477776227
"301","USA",2000,1,3,78,94.8905578854283
"302","USA",2000,1,3,79,96.7994194799197
"303","USA",2000,1,3,80,97.9837117824546
"304","USA",2000,1,3,81,98.2317923920834
"305","USA",2000,1,3,82,97.4537947978432
"306","USA",2000,1,3,83,95.534511925384
"307","USA",2000,1,3,84,92.4771501580831
"308","USA",2000,1,3,85,88.3088504860574
"309","USA",2000,1,3,86,83.1495374010855
"310","USA",2000,1,3,87,77.1652284728169
"311","USA",2000,1,3,88,70.5659307294744
"312","USA",2000,1,3,89,63.5955903612132
"313","USA",2000,1,3,90,56.4869303703276
"314","USA",2000,1,3,91,49.4796507403503
"315","USA",2000,1,3,92,42.7596494051268
"316","USA",2000,1,3,93,36.5004709700985
"317","USA",2000,1,3,94,30.8018282667373
"318","USA",2000,1,3,95,25.7375532485689
"319","USA",2000,1,3,96,21.3195305768397
"320","USA",2000,1,3,97,17.5327355013428
"321","USA",2000,1,3,98,14.3313147042932
"322","USA",2000,1,3,99,11.6574281727153
"323","USA",2000,1,3,100,9.44577294571776
"324","USA",2000,1,3,101,7.63096892554667
"325","USA",2000,1,3,102,6.15160107791501
"326","USA",2000,1,3,103,4.95101784985479
"327","USA",2000,1,3,104,3.98044121213622
"328","USA",2000,1,3,105,3.19760917209792
"329","USA",2000,1,3,106,2.56753279902888
"330","USA",2000,1,3,107,2.06094541263123
"331","USA",2000,1,3,108,1.65406348355757
"332","USA",2000,1,3,109,1.32738862253202
"333","USA",2000,1,3,110,1.06521273412849
"334","USA",2000,1,4,0,49.6329164028091
"335","USA",2000,1,4,1,42.9656793064736
"336","USA",2000,1,4,2,37.3533739314931
"337","USA",2000,1,4,3,32.6945401415278
"338","USA",2000,1,4,4,28.8955343803496
"339","USA",2000,1,4,5,25.8454856500901
"340","USA",2000,1,4,6,23.4374417013768
"341","USA",2000,1,4,7,21.5803015663217
"342","USA",2000,1,4,8,20.1871361334712
"343","USA",2000,1,4,9,19.1950201198211
"344","USA",2000,1,4,10,18.5452671091709
"345","USA",2000,1,4,11,18.1988099000722
"346","USA",2000,1,4,12,18.125273604303
"347","USA",2000,1,4,13,18.3060974778734
"348","USA",2000,1,4,14,18.7318782472426
"349","USA",2000,1,4,15,19.3988148436625
"350","USA",2000,1,4,16,20.3119238663857
"351","USA",2000,1,4,17,21.4765448587261
"352","USA",2000,1,4,18,22.9089874865471
"353","USA",2000,1,4,19,24.6213058361717
"354","USA",2000,1,4,20,26.6376392708529
"355","USA",2000,1,4,21,28.9727410575438
"356","USA",2000,1,4,22,31.6571103463944
"357","USA",2000,1,4,23,34.7080182314685
"358","USA",2000,1,4,24,38.161585139428
"359","USA",2000,1,4,25,42.0393868567045
"360","USA",2000,1,4,26,46.3820399525358
"361","USA",2000,1,4,27,51.2154544291277
"362","USA",2000,1,4,28,56.5826134649494
"363","USA",2000,1,4,29,62.510484990381
"364","USA",2000,1,4,30,69.044469105111
"365","USA",2000,1,4,31,76.2163150392948
"366","USA",2000,1,4,32,84.079134928983
"367","USA",2000,1,4,33,92.6855372027127
"368","USA",2000,1,4,34,102.109858175197
"369","USA",2000,1,4,35,112.455880547871
"370","USA",2000,1,4,36,123.824805053247
"371","USA",2000,1,4,37,136.354506393691
"372","USA",2000,1,4,38,150.146979844573
"373","USA",2000,1,4,39,165.263909754474
"374","USA",2000,1,4,40,181.757615182844
"375","USA",2000,1,4,41,199.519519562501
"376","USA",2000,1,4,42,218.534145893622
"377","USA",2000,1,4,43,238.64153933425
"378","USA",2000,1,4,44,259.791707822568
"379","USA",2000,1,4,45,281.913005023518
"380","USA",2000,1,4,46,304.946134162604
"381","USA",2000,1,4,47,328.847984743745
"382","USA",2000,1,4,48,353.501999691105
"383","USA",2000,1,4,49,378.637023225957
"384","USA",2000,1,4,50,404.006452508508
"385","USA",2000,1,4,51,429.062424279653
"386","USA",2000,1,4,52,453.495957821599
"387","USA",2000,1,4,53,477.033203132103
"388","USA",2000,1,4,54,499.512048159782
"389","USA",2000,1,4,55,521.332158571176
"390","USA",2000,1,4,56,542.575471252922
"391","USA",2000,1,4,57,564.047640731499
"392","USA",2000,1,4,58,585.976343481071
"393","USA",2000,1,4,59,609.052422060311
"394","USA",2000,1,4,60,633.532291422967
"395","USA",2000,1,4,61,659.926972230538
"396","USA",2000,1,4,62,688.514054487649
"397","USA",2000,1,4,63,719.778912657385
"398","USA",2000,1,4,64,754.058603669421
"399","USA",2000,1,4,65,791.833058070968
"400","USA",2000,1,4,66,833.473850144149
"401","USA",2000,1,4,67,879.062533485757
"402","USA",2000,1,4,68,928.795211963901
"403","USA",2000,1,4,69,981.708453876407
"404","USA",2000,1,4,70,1037.43226806428
"405","USA",2000,1,4,71,1093.61081343146
"406","USA",2000,1,4,72,1149.02414415729
